trial0038239, AA, 692, 14, 49.428571, ZIC, 1086, 16, 67.875000, ZIP, 180, 2, 90.000000, 
trial0038240, AA, 707, 14, 50.500000, ZIC, 1131, 16, 70.687500, ZIP, 106, 2, 53.000000, 
trial0038241, AA, 1293, 14, 92.357143, ZIC, 557, 16, 34.812500, ZIP, 106, 2, 53.000000, 
trial0038242, AA, 1270, 14, 90.714286, ZIC, 516, 16, 32.250000, ZIP, 137, 2, 68.500000, 
trial0038243, AA, 963, 14, 68.785714, ZIC, 728, 16, 45.500000, ZIP, 142, 2, 71.000000, 
trial0038244, AA, 770, 14, 55.000000, ZIC, 1212, 16, 75.750000, ZIP, 0, 2, 0.000000, 
trial0038245, AA, 986, 14, 70.428571, ZIC, 895, 16, 55.937500, ZIP, 130, 2, 65.000000, 
trial0038246, AA, 768, 14, 54.857143, ZIC, 994, 16, 62.125000, ZIP, 173, 2, 86.500000, 
trial0038247, AA, 956, 14, 68.285714, ZIC, 775, 16, 48.437500, ZIP, 97, 2, 48.500000, 
trial0038248, AA, 824, 14, 58.857143, ZIC, 1058, 16, 66.125000, ZIP, 74, 2, 37.000000, 
trial0038249, AA, 608, 14, 43.428571, ZIC, 1384, 16, 86.500000, ZIP, 29, 2, 14.500000, 
trial0038250, AA, 1117, 14, 79.785714, ZIC, 827, 16, 51.687500, ZIP, 0, 2, 0.000000, 
trial0038251, AA, 682, 14, 48.714286, ZIC, 578, 16, 36.125000, ZIP, 20, 2, 10.000000, 
trial0038252, AA, 740, 14, 52.857143, ZIC, 518, 16, 32.375000, ZIP, 127, 2, 63.500000, 
trial0038253, AA, 796, 14, 56.857143, ZIC, 500, 16, 31.250000, ZIP, 4, 2, 2.000000, 
trial0038254, AA, 899, 14, 64.214286, ZIC, 399, 16, 24.937500, ZIP, 35, 2, 17.500000, 
trial0038255, AA, 658, 14, 47.000000, ZIC, 610, 16, 38.125000, ZIP, 198, 2, 99.000000, 
trial0038256, AA, 610, 14, 43.571429, ZIC, 571, 16, 35.687500, ZIP, 193, 2, 96.500000, 
trial0038257, AA, 483, 14, 34.500000, ZIC, 779, 16, 48.687500, ZIP, 186, 2, 93.000000, 
trial0038258, AA, 540, 14, 38.571429, ZIC, 761, 16, 47.562500, ZIP, 22, 2, 11.000000, 
trial0038259, AA, 917, 14, 65.500000, ZIC, 299, 16, 18.687500, ZIP, 84, 2, 42.000000, 
trial0038260, AA, 880, 14, 62.857143, ZIC, 536, 16, 33.500000, ZIP, 2, 2, 1.000000, 
trial0038261, AA, 527, 14, 37.642857, ZIC, 807, 16, 50.437500, ZIP, 132, 2, 66.000000, 
trial0038262, AA, 618, 14, 44.142857, ZIC, 603, 16, 37.687500, ZIP, 173, 2, 86.500000, 
trial0038263, AA, 738, 14, 52.714286, ZIC, 529, 16, 33.062500, ZIP, 170, 2, 85.000000, 
trial0038264, AA, 504, 14, 36.000000, ZIC, 724, 16, 45.250000, ZIP, 106, 2, 53.000000, 
trial0038265, AA, 613, 14, 43.785714, ZIC, 637, 16, 39.812500, ZIP, 130, 2, 65.000000, 
trial0038266, AA, 492, 14, 35.142857, ZIC, 714, 16, 44.625000, ZIP, 63, 2, 31.500000, 
trial0038267, AA, 445, 14, 31.785714, ZIC, 878, 16, 54.875000, ZIP, 93, 2, 46.500000, 
trial0038268, AA, 643, 14, 45.928571, ZIC, 543, 16, 33.937500, ZIP, 101, 2, 50.500000, 
trial0038269, AA, 710, 14, 50.714286, ZIC, 523, 16, 32.687500, ZIP, 146, 2, 73.000000, 
trial0038270, AA, 772, 14, 55.142857, ZIC, 669, 16, 41.812500, ZIP, 0, 2, 0.000000, 
trial0038271, AA, 511, 14, 36.500000, ZIC, 854, 16, 53.375000, ZIP, 15, 2, 7.500000, 
trial0038272, AA, 715, 14, 51.071429, ZIC, 593, 16, 37.062500, ZIP, 61, 2, 30.500000, 
trial0038273, AA, 834, 14, 59.571429, ZIC, 400, 16, 25.000000, ZIP, 94, 2, 47.000000, 
trial0038274, AA, 715, 14, 51.071429, ZIC, 478, 16, 29.875000, ZIP, 247, 2, 123.500000, 
