S05, Ask, 568, 1, 42.35, 186
B02, Bid, 064, 1, 42.40, 187
B05, Bid, 106, 1, 42.45, 188
S03, Ask, 417, 1, 42.50, 189
B03, Bid, 046, 1, 42.55, 190
S08, Ask, 165, 1, 42.60, 191
S09, Ask, 653, 1, 42.65, 192
S05, Ask, 352, 1, 42.70, 193
S05, Ask, 388, 1, 42.80, 194
B06, Bid, 131, 1, 42.90, 195
S06, Ask, 593, 1, 42.95, 196
B05, Bid, 106, 1, 43.05, 197
S03, Ask, 096, 1, 43.10, 198
B04, Bid, 094, 1, 43.15, 199
S07, Ask, 238, 1, 43.20, 200
S08, Ask, 165, 1, 43.35, 201
S09, Ask, 484, 1, 43.45, 202
B01, Bid, 051, 1, 43.50, 203
S07, Ask, 238, 1, 43.55, 204
S07, Ask, 238, 1, 43.60, 205
S01, Ask, 987, 1, 43.65, 206
B03, Bid, 038, 1, 43.75, 207
S09, Ask, 713, 1, 43.85, 208
S07, Ask, 238, 1, 43.90, 209
B00, Bid, 005, 1, 43.95, 210
S08, Ask, 165, 1, 44.20, 211
B03, Bid, 058, 1, 44.30, 212
B04, Bid, 094, 1, 44.35, 213
B05, Bid, 106, 1, 44.60, 214
B03, Bid, 049, 1, 44.80, 215
B05, Bid, 106, 1, 44.85, 216
S01, Ask, 680, 1, 44.90, 217
B02, Bid, 063, 1, 45.00, 218
B04, Bid, 094, 1, 45.15, 219
B01, Bid, 051, 1, 45.25, 220
S08, Ask, 165, 1, 45.30, 221
S01, Ask, 455, 1, 45.40, 222
S09, Ask, 770, 1, 45.50, 223
B00, Bid, 027, 1, 45.55, 224
S08, Ask, 165, 1, 45.60, 225
B00, Bid, 006, 1, 45.65, 226
B02, Bid, 019, 1, 45.70, 227
S06, Ask, 748, 1, 45.80, 228
S01, Ask, 110, 1, 45.90, 229
B04, Bid, 094, 1, 45.95, 230
B05, Bid, 106, 1, 46.00, 231
B00, Bid, 023, 1, 46.10, 232
B02, Bid, 050, 1, 46.15, 233
B00, Bid, 008, 1, 46.20, 234
B00, Bid, 020, 1, 46.35, 235
S05, Ask, 558, 1, 46.50, 236
B02, Bid, 051, 1, 46.70, 237
S07, Ask, 202, 1, 46.85, 238
S05, Ask, 979, 1, 46.90, 239
B05, Bid, 106, 1, 46.95, 240
B02, Bid, 010, 1, 47.00, 241
B00, Bid, 026, 1, 47.10, 242
B02, Bid, 067, 1, 47.15, 243
S09, Ask, 202, 1, 47.20, 244
S09, Ask, 335, 1, 47.30, 245
S08, Ask, 165, 1, 47.50, 246
S09, Ask, 701, 1, 47.60, 247
B05, Bid, 106, 1, 47.70, 248
S09, Ask, 266, 1, 47.75, 249
B01, Bid, 051, 1, 47.80, 250
S09, Ask, 318, 1, 47.85, 251
B01, Bid, 051, 1, 47.90, 252
B02, Bid, 045, 1, 47.95, 253
S06, Ask, 207, 1, 48.00, 254
S01, Ask, 428, 1, 48.05, 255
B04, Bid, 094, 1, 48.10, 256
S09, Ask, 244, 1, 48.15, 257
B01, Bid, 051, 1, 48.20, 258
B03, Bid, 040, 1, 48.25, 259
B05, Bid, 106, 1, 48.30, 260
B00, Bid, 005, 1, 48.35, 261
B04, Bid, 094, 1, 48.40, 262
S08, Ask, 165, 1, 48.45, 263
S05, Ask, 952, 1, 48.50, 264
S09, Ask, 896, 1, 48.60, 265
S05, Ask, 649, 1, 48.65, 266
S06, Ask, 676, 1, 48.70, 267
S09, Ask, 749, 1, 48.80, 268
B01, Bid, 051, 1, 48.85, 269
B01, Bid, 051, 1, 49.00, 270
S01, Ask, 772, 1, 49.10, 271
S01, Ask, 572, 1, 49.25, 272
S06, Ask, 280, 1, 49.30, 273
S08, Ask, 165, 1, 49.40, 274
S07, Ask, 202, 1, 49.45, 275
B03, Bid, 088, 1, 49.50, 276
S07, Ask, 202, 1, 49.55, 277
S09, Ask, 281, 1, 49.65, 278
B04, Bid, 094, 1, 49.70, 279
S07, Ask, 202, 1, 49.75, 280
B05, Bid, 106, 1, 49.85, 281
B05, Bid, 106, 1, 49.90, 282
S08, Ask, 165, 1, 49.95, 283
B04, Bid, 094, 1, 50.10, 284
B00, Bid, 027, 1, 50.15, 285
B03, Bid, 062, 1, 50.20, 286
B00, Bid, 048, 1, 50.25, 287
B01, Bid, 051, 1, 50.30, 288
B02, Bid, 001, 1, 50.35, 289
S05, Ask, 627, 1, 50.40, 290
B04, Bid, 094, 1, 50.45, 291
S01, Ask, 684, 1, 50.50, 292
B01, Bid, 051, 1, 50.55, 293
B03, Bid, 017, 1, 50.60, 294
S06, Ask, 684, 1, 50.70, 295
S06, Ask, 522, 1, 50.80, 296
B02, Bid, 018, 1, 50.85, 297
B04, Bid, 094, 1, 50.95, 298
B01, Bid, 051, 1, 51.00, 299
B00, Bid, 003, 1, 51.10, 300
B01, Bid, 051, 1, 51.15, 301
B01, Bid, 051, 1, 51.20, 302
B05, Bid, 106, 1, 51.25, 303
S07, Ask, 202, 1, 51.35, 304
S06, Ask, 631, 1, 51.45, 305
B03, Bid, 070, 1, 51.60, 306
B01, Bid, 051, 1, 51.65, 307
B01, Bid, 051, 1, 51.70, 308
