trial0000039ZIC, 128.0, 10, 12.8, 1.2, 1.2929996455570268e-05, 9.069465231781209e-07ZIP, 655.0, 10, 65.5, 7.2, 9.61802192094801e-06, 8.884781720721678e-06
trial0000040ZIC, 111.0, 10, 11.1, 1.0, 1.317405581332357e-05, 8.970206474152066e-07ZIP, 781.0, 10, 78.1, 8.4, 9.895243643787355e-06, 8.999305284132585e-06
trial0000041ZIC, 335.0, 10, 33.5, 2.9, 1.3068435119100473e-05, 9.468943547050941e-07ZIP, 366.0, 10, 36.6, 4.5, 9.632950334258719e-06, 9.779891884426453e-06
trial0000042ZIC, 323.0, 10, 32.3, 2.2, 1.3238860890991565e-05, 9.288554059328406e-07ZIP, 623.0, 10, 62.3, 6.6, 9.959482138251612e-06, 1.006963465987727e-05
trial0000043ZIC, 180.0, 10, 18.0, 1.9, 1.3520792716117843e-05, 9.61545075094977e-07ZIP, 505.0, 10, 50.5, 5.5, 9.530161740015045e-06, 9.064995792022972e-06
trial0000044ZIC, 168.0, 10, 16.8, 2.0, 1.2730878079225189e-05, 8.943862300149808e-07ZIP, 563.0, 10, 56.3, 4.8, 9.41934466656288e-06, 9.17016613867975e-06
trial0000045ZIC, 326.0, 10, 32.6, 2.6, 1.3283208811585288e-05, 9.27888606232753e-07ZIP, 422.0, 10, 42.2, 6.2, 9.413563486250586e-06, 9.272940587317248e-06
trial0000046ZIC, 181.0, 10, 18.1, 1.7, 1.2712569624330936e-05, 9.130290723520433e-07ZIP, 360.0, 10, 36.0, 5.5, 9.361849362250941e-06, 9.013806085499536e-06
trial0000047ZIC, 381.0, 10, 38.1, 3.1, 1.2566677113413183e-05, 8.542325969783897e-07ZIP, 257.0, 10, 25.7, 6.1, 9.18040780439746e-06, 9.428035466171832e-06
trial0000048ZIC, 255.0, 10, 25.5, 1.8, 1.3212772977821145e-05, 9.126170882074296e-07ZIP, 675.0, 10, 67.5, 6.4, 9.783148032332799e-06, 9.539032394438556e-06
trial0000049ZIC, 367.0, 10, 36.7, 2.6, 1.1353927453514283e-05, 8.193092686940891e-07ZIP, 438.0, 10, 43.8, 5.6, 8.619435792426827e-06, 8.267796475063551e-06
trial0000050ZIC, 165.0, 10, 16.5, 1.7, 1.1094184161875692e-05, 7.666886845416437e-07ZIP, 734.0, 10, 73.4, 8.1, 8.263156406858204e-06, 8.073108188127198e-06
