AA- Wins: 0 Total: 0, GDX- Wins: 414 Total: 37662, ZIC- Wins: 86 Total: 21580, ZIP- Wins: 0, Total: 0
AA- Wins: 0 Total: 0, GDX- Wins: 381 Total: 17763, ZIC- Wins: 119 Total: 9413, ZIP- Wins: 0, Total: 0
AA- Wins: 0 Total: 0, GDX- Wins: 380 Total: 65292, ZIC- Wins: 120 Total: 36291, ZIP- Wins: 0, Total: 0
AA- Wins: 0 Total: 0, GDX- Wins: 319 Total: 37125, ZIC- Wins: 181 Total: 15128, ZIP- Wins: 0, Total: 0
AA- Wins: 217 Total: 64614, GDX- Wins: 0 Total: 0, ZIC- Wins: 0 Total: 0, ZIP- Wins: 283, Total: 85835
AA- Wins: 210 Total: 42375, GDX- Wins: 0 Total: 0, ZIC- Wins: 0 Total: 0, ZIP- Wins: 290, Total: 50491
AA- Wins: 228 Total: 42320, GDX- Wins: 0 Total: 0, ZIC- Wins: 0 Total: 0, ZIP- Wins: 272, Total: 47077
AA- Wins: 239 Total: 55485, GDX- Wins: 0 Total: 0, ZIC- Wins: 0 Total: 0, ZIP- Wins: 261, Total: 56174
AA- Wins: 282 Total: 61843, GDX- Wins: 0 Total: 0, ZIC- Wins: 0 Total: 0, ZIP- Wins: 218, Total: 58753
AA- Wins: 256 Total: 60976, GDX- Wins: 0 Total: 0, ZIC- Wins: 0 Total: 0, ZIP- Wins: 244, Total: 61324
AA- Wins: 254 Total: 59279, GDX- Wins: 0 Total: 0, ZIC- Wins: 0 Total: 0, ZIP- Wins: 246, Total: 57175
AA- Wins: 242 Total: 49020, GDX- Wins: 0 Total: 0, ZIC- Wins: 0 Total: 0, ZIP- Wins: 258, Total: 47683
AA- Wins: 259 Total: 63551, GDX- Wins: 0 Total: 0, ZIC- Wins: 0 Total: 0, ZIP- Wins: 241, Total: 59085
AA- Wins: 281 Total: 61455, GDX- Wins: 0 Total: 0, ZIC- Wins: 0 Total: 0, ZIP- Wins: 219, Total: 57843
AA- Wins: 307 Total: 76628, GDX- Wins: 0 Total: 0, ZIC- Wins: 0 Total: 0, ZIP- Wins: 193, Total: 67438
AA- Wins: 265 Total: 54344, GDX- Wins: 0 Total: 0, ZIC- Wins: 0 Total: 0, ZIP- Wins: 235, Total: 51632
AA- Wins: 295 Total: 55691, GDX- Wins: 0 Total: 0, ZIC- Wins: 0 Total: 0, ZIP- Wins: 205, Total: 50022
AA- Wins: 293 Total: 69332, GDX- Wins: 0 Total: 0, ZIC- Wins: 0 Total: 0, ZIP- Wins: 207, Total: 61211
AA- Wins: 263 Total: 43908, GDX- Wins: 0 Total: 0, ZIC- Wins: 0 Total: 0, ZIP- Wins: 237, Total: 39341
AA- Wins: 321 Total: 78337, GDX- Wins: 0 Total: 0, ZIC- Wins: 0 Total: 0, ZIP- Wins: 179, Total: 66813
AA- Wins: 285 Total: 61333, GDX- Wins: 0 Total: 0, ZIC- Wins: 0 Total: 0, ZIP- Wins: 215, Total: 50575
AA- Wins: 269 Total: 65986, GDX- Wins: 0 Total: 0, ZIC- Wins: 0 Total: 0, ZIP- Wins: 231, Total: 55330
AA- Wins: 225 Total: 48314, GDX- Wins: 0 Total: 0, ZIC- Wins: 0 Total: 0, ZIP- Wins: 275, Total: 41081
