trial0043327, GDX, 42, 4, 10.500000, ZIC, 146, 28, 5.214286, 
trial0043328, GDX, 15, 4, 3.750000, ZIC, 189, 28, 6.750000, 
trial0043329, GDX, 35, 4, 8.750000, ZIC, 173, 28, 6.178571, 
trial0043330, GDX, 23, 4, 5.750000, ZIC, 193, 28, 6.892857, 
trial0043331, GDX, 46, 4, 11.500000, ZIC, 190, 28, 6.785714, 
trial0043332, GDX, 31, 4, 7.750000, ZIC, 193, 28, 6.892857, 
trial0043333, GDX, 37, 4, 9.250000, ZIC, 199, 28, 7.107143, 
trial0043334, GDX, 59, 4, 14.750000, ZIC, 157, 28, 5.607143, 
trial0043335, GDX, 37, 4, 9.250000, ZIC, 211, 28, 7.535714, 
trial0043336, GDX, 40, 4, 10.000000, ZIC, 192, 28, 6.857143, 
trial0043337, GDX, 0, 4, 0.000000, ZIC, 228, 28, 8.142857, 
trial0043338, GDX, 13, 4, 3.250000, ZIC, 211, 28, 7.535714, 
trial0043339, GDX, 22, 4, 5.500000, ZIC, 202, 28, 7.214286, 
trial0043340, GDX, 12, 4, 3.000000, ZIC, 172, 28, 6.142857, 
trial0043341, GDX, 19, 4, 4.750000, ZIC, 197, 28, 7.035714, 
trial0043342, GDX, 12, 4, 3.000000, ZIC, 232, 28, 8.285714, 
trial0043343, GDX, 13, 4, 3.250000, ZIC, 183, 28, 6.535714, 
trial0043344, GDX, 10, 4, 2.500000, ZIC, 198, 28, 7.071429, 
trial0043345, GDX, 7, 4, 1.750000, ZIC, 169, 28, 6.035714, 
trial0043346, GDX, 92, 4, 23.000000, ZIC, 140, 28, 5.000000, 
trial0043347, GDX, 9, 4, 2.250000, ZIC, 211, 28, 7.535714, 
trial0043348, GDX, 0, 4, 0.000000, ZIC, 228, 28, 8.142857, 
trial0043349, GDX, 8, 4, 2.000000, ZIC, 180, 28, 6.428571, 
trial0043350, GDX, 21, 4, 5.250000, ZIC, 191, 28, 6.821429, 
trial0043351, GDX, 7, 4, 1.750000, ZIC, 366, 28, 13.071429, 
trial0043352, GDX, 52, 4, 13.000000, ZIC, 261, 28, 9.321429, 
trial0043353, GDX, 78, 4, 19.500000, ZIC, 247, 28, 8.821429, 
trial0043354, GDX, 53, 4, 13.250000, ZIC, 254, 28, 9.071429, 
trial0043355, GDX, 106, 4, 26.500000, ZIC, 267, 28, 9.535714, 
trial0043356, GDX, 20, 4, 5.000000, ZIC, 311, 28, 11.107143, 
trial0043357, GDX, 36, 4, 9.000000, ZIC, 265, 28, 9.464286, 
trial0043358, GDX, 53, 4, 13.250000, ZIC, 320, 28, 11.428571, 
trial0043359, GDX, 26, 4, 6.500000, ZIC, 317, 28, 11.321429, 
trial0043360, GDX, 48, 4, 12.000000, ZIC, 283, 28, 10.107143, 
trial0043361, GDX, 4, 4, 1.000000, ZIC, 351, 28, 12.535714, 
trial0043362, GDX, 13, 4, 3.250000, ZIC, 306, 28, 10.928571, 
trial0043363, GDX, 7, 4, 1.750000, ZIC, 324, 28, 11.571429, 
trial0043364, GDX, 93, 4, 23.250000, ZIC, 262, 28, 9.357143, 
trial0043365, GDX, 68, 4, 17.000000, ZIC, 293, 28, 10.464286, 
trial0043366, GDX, 56, 4, 14.000000, ZIC, 323, 28, 11.535714, 
trial0043367, GDX, 66, 4, 16.500000, ZIC, 295, 28, 10.535714, 
trial0043368, GDX, 30, 4, 7.500000, ZIC, 295, 28, 10.535714, 
trial0043369, GDX, 14, 4, 3.500000, ZIC, 317, 28, 11.321429, 
trial0043370, GDX, 46, 4, 11.500000, ZIC, 297, 28, 10.607143, 
trial0043371, GDX, 66, 4, 16.500000, ZIC, 253, 28, 9.035714, 
