trial0013610, 000600, AA, 31, 2, 15.500000, GDX, 357, 14, 25.500000, ZIC, 866, 16, 54.125000, 106, 134, 
trial0013611, 000600, AA, 517, 2, 258.500000, GDX, 893, 14, 63.785714, ZIC, 838, 16, 52.375000, 90, 102, 
trial0013612, 000600, AA, 0, 2, 0.000000, GDX, 940, 14, 67.142857, ZIC, 764, 16, 47.750000, 94, 107, 
trial0013613, 000600, AA, 317, 2, 158.500000, GDX, 185, 14, 13.214286, ZIC, 1127, 16, 70.437500, 110, 150, 
trial0013614, 000600, AA, 253, 2, 126.500000, GDX, 522, 14, 37.285714, ZIC, 862, 16, 53.875000, 90, 103, 
trial0013615, 000600, AA, 0, 2, 0.000000, GDX, 883, 14, 63.071429, ZIC, 909, 16, 56.812500, 123, 126, 
trial0013616, 000600, AA, 107, 2, 53.500000, GDX, 412, 14, 29.428571, ZIC, 587, 16, 36.687500, 114, 119, 
trial0013617, 000600, AA, 0, 2, 0.000000, GDX, 1460, 14, 104.285714, ZIC, 601, 16, 37.562500, 86, 89, 
trial0013618, 000600, AA, 12, 2, 6.000000, GDX, 820, 14, 58.571429, ZIC, 1115, 16, 69.687500, 96, 107, 
trial0013619, 000600, AA, 287, 2, 143.500000, GDX, 692, 14, 49.428571, ZIC, 650, 16, 40.625000, 110, 126, 
trial0013620, 000600, AA, 38, 2, 19.000000, GDX, 1024, 14, 73.142857, ZIC, 1165, 16, 72.812500, 93, 96, 
trial0013621, 000600, AA, 146, 2, 73.000000, GDX, 1119, 14, 79.928571, ZIC, 464, 16, 29.000000, 128, 170, 
trial0013622, 000600, AA, 464, 2, 232.000000, GDX, 547, 14, 39.071429, ZIC, 807, 16, 50.437500, 125, 137, 
trial0013623, 000600, AA, 0, 2, 0.000000, GDX, 540, 14, 38.571429, ZIC, 1469, 16, 91.812500, 114, 132, 
trial0013624, 000600, AA, 281, 2, 140.500000, GDX, 634, 14, 45.285714, ZIC, 512, 16, 32.000000, 120, 130, 
trial0013625, 000600, AA, 207, 2, 103.500000, GDX, 450, 14, 32.142857, ZIC, 610, 16, 38.125000, 112, 114, 
trial0013626, 000600, AA, 0, 2, 0.000000, GDX, 680, 14, 48.571429, ZIC, 840, 16, 52.500000, 115, 128, 
trial0013627, 000600, AA, 0, 2, 0.000000, GDX, 1251, 14, 89.357143, ZIC, 637, 16, 39.812500, 117, 134, 
trial0013628, 000600, AA, 6, 2, 3.000000, GDX, 577, 14, 41.214286, ZIC, 631, 16, 39.437500, 124, 131, 
trial0013629, 000600, AA, 158, 2, 79.000000, GDX, 663, 14, 47.357143, ZIC, 823, 16, 51.437500, 100, 117, 
trial0013630, 000600, AA, 0, 2, 0.000000, GDX, 801, 14, 57.214286, ZIC, 919, 16, 57.437500, 133, 147, 
trial0013631, 000600, AA, 17, 2, 8.500000, GDX, 809, 14, 57.785714, ZIC, 816, 16, 51.000000, 118, 119, 
trial0013632, 000600, AA, 279, 2, 139.500000, GDX, 461, 14, 32.928571, ZIC, 1089, 16, 68.062500, 110, 125, 
trial0013633, 000600, AA, 121, 2, 60.500000, GDX, 410, 14, 29.285714, ZIC, 1094, 16, 68.375000, 130, 157, 
trial0013634, 000600, AA, 2, 2, 1.000000, GDX, 679, 14, 48.500000, ZIC, 710, 16, 44.375000, 130, 135, 
trial0013635, 000600, AA, 271, 2, 135.500000, GDX, 328, 14, 23.428571, ZIC, 540, 16, 33.750000, 130, 142, 
trial0013636, 000600, AA, 0, 2, 0.000000, GDX, 548, 14, 39.142857, ZIC, 557, 16, 34.812500, 155, 156, 
trial0013637, 000600, AA, 441, 2, 220.500000, GDX, 662, 14, 47.285714, ZIC, 735, 16, 45.937500, 124, 162, 
trial0013638, 000600, AA, 108, 2, 54.000000, GDX, 661, 14, 47.214286, ZIC, 382, 16, 23.875000, 136, 164, 
trial0013639, 000600, AA, 5, 2, 2.500000, GDX, 122, 14, 8.714286, ZIC, 1033, 16, 64.562500, 116, 127, 
trial0013640, 000600, AA, 51, 2, 25.500000, GDX, 561, 14, 40.071429, ZIC, 839, 16, 52.437500, 154, 157, 
trial0013641, 000600, AA, 176, 2, 88.000000, GDX, 637, 14, 45.500000, ZIC, 498, 16, 31.125000, 134, 141, 
trial0013642, 000600, AA, 262, 2, 131.000000, GDX, 307, 14, 21.928571, ZIC, 934, 16, 58.375000, 139, 150, 
trial0013643, 000600, AA, 29, 2, 14.500000, GDX, 633, 14, 45.214286, ZIC, 415, 16, 25.937500, 142, 145, 
trial0013644, 000600, AA, 79, 2, 39.500000, GDX, 653, 14, 46.642857, ZIC, 617, 16, 38.562500, 140, 172, 
trial0013645, 000600, AA, 99, 2, 49.500000, GDX, 675, 14, 48.214286, ZIC, 144, 16, 9.000000, 152, 188, 
trial0013646, 000600, AA, 11, 2, 5.500000, GDX, 437, 14, 31.214286, ZIC, 858, 16, 53.625000, 118, 157, 
trial0013647, 000600, AA, 32, 2, 16.000000, GDX, 1111, 14, 79.357143, ZIC, 317, 16, 19.812500, 148, 161, 
trial0013648, 000600, AA, 5, 2, 2.500000, GDX, 579, 14, 41.357143, ZIC, 428, 16, 26.750000, 140, 141, 
trial0013649, 000600, AA, 16, 2, 8.000000, GDX, 856, 14, 61.142857, ZIC, 995, 16, 62.187500, 125, 142, 
trial0013650, 000600, AA, 0, 2, 0.000000, GDX, 449, 14, 32.071429, ZIC, 719, 16, 44.937500, 124, 130, 
trial0013651, 000600, AA, 329, 2, 164.500000, GDX, 383, 14, 27.357143, ZIC, 660, 16, 41.250000, 136, 138, 
trial0013652, 000600, AA, 128, 2, 64.000000, GDX, 457, 14, 32.642857, ZIC, 291, 16, 18.187500, 144, 171, 
trial0013653, 000600, AA, 0, 2, 0.000000, GDX, 432, 14, 30.857143, ZIC, 603, 16, 37.687500, 146, 157, 
trial0013654, 000600, AA, 117, 2, 58.500000, GDX, 1033, 14, 73.785714, ZIC, 553, 16, 34.562500, 134, 140, 
trial0013655, 000600, AA, 335, 2, 167.500000, GDX, 622, 14, 44.428571, ZIC, 780, 16, 48.750000, 143, 154, 
trial0013656, 000600, AA, 0, 2, 0.000000, GDX, 579, 14, 41.357143, ZIC, 508, 16, 31.750000, 142, 143, 
trial0013657, 000600, AA, 129, 2, 64.500000, GDX, 438, 14, 31.285714, ZIC, 568, 16, 35.500000, 132, 134, 
trial0013658, 000600, AA, 92, 2, 46.000000, GDX, 602, 14, 43.000000, ZIC, 653, 16, 40.812500, 106, 114, 
trial0013659, 000600, AA, 12, 2, 6.000000, GDX, 476, 14, 34.000000, ZIC, 756, 16, 47.250000, 122, 138, 
trial0013660, 000600, AA, 405, 2, 202.500000, GDX, 306, 14, 21.857143, ZIC, 478, 16, 29.875000, 142, 149, 
trial0013661, 000600, AA, 292, 2, 146.000000, GDX, 935, 14, 66.785714, ZIC, 1154, 16, 72.125000, 111, 117, 
trial0013662, 000600, AA, 225, 2, 112.500000, GDX, 1250, 14, 89.285714, ZIC, 579, 16, 36.187500, 96, 143, 
trial0013663, 000600, AA, 46, 2, 23.000000, GDX, 760, 14, 54.285714, ZIC, 740, 16, 46.250000, 94, 117, 
trial0013664, 000600, AA, 118, 2, 59.000000, GDX, 1192, 14, 85.142857, ZIC, 1115, 16, 69.687500, 96, 112, 
trial0013665, 000600, AA, 945, 2, 472.500000, GDX, 865, 14, 61.785714, ZIC, 894, 16, 55.875000, 80, 94, 
trial0013666, 000600, AA, 0, 2, 0.000000, GDX, 1024, 14, 73.142857, ZIC, 832, 16, 52.000000, 96, 97, 
trial0013667, 000600, AA, 0, 2, 0.000000, GDX, 1248, 14, 89.142857, ZIC, 748, 16, 46.750000, 124, 126, 
trial0013668, 000600, AA, 0, 2, 0.000000, GDX, 1270, 14, 90.714286, ZIC, 935, 16, 58.437500, 78, 124, 
trial0013669, 000600, AA, 212, 2, 106.000000, GDX, 855, 14, 61.071429, ZIC, 476, 16, 29.750000, 100, 103, 
trial0013670, 000600, AA, 0, 2, 0.000000, GDX, 623, 14, 44.500000, ZIC, 1351, 16, 84.437500, 94, 128, 
trial0013671, 000600, AA, 311, 2, 155.500000, GDX, 592, 14, 42.285714, ZIC, 694, 16, 43.375000, 124, 127, 
trial0013672, 000600, AA, 4, 2, 2.000000, GDX, 804, 14, 57.428571, ZIC, 837, 16, 52.312500, 112, 136, 
trial0013673, 000600, AA, 74, 2, 37.000000, GDX, 453, 14, 32.357143, ZIC, 853, 16, 53.312500, 90, 103, 
trial0013674, 000600, AA, 341, 2, 170.500000, GDX, 1038, 14, 74.142857, ZIC, 1273, 16, 79.562500, 112, 114, 
trial0013675, 000600, AA, 377, 2, 188.500000, GDX, 348, 14, 24.857143, ZIC, 1476, 16, 92.250000, 122, 139, 
trial0013676, 000600, AA, 311, 2, 155.500000, GDX, 839, 14, 59.928571, ZIC, 1149, 16, 71.812500, 84, 87, 
trial0013677, 000600, AA, 110, 2, 55.000000, GDX, 685, 14, 48.928571, ZIC, 1011, 16, 63.187500, 116, 121, 
trial0013678, 000600, AA, 624, 2, 312.000000, GDX, 445, 14, 31.785714, ZIC, 443, 16, 27.687500, 114, 119, 
trial0013679, 000600, AA, 514, 2, 257.000000, GDX, 1039, 14, 74.214286, ZIC, 768, 16, 48.000000, 82, 97, 
