trial0004663, ZIC, 1750, 16, 109.375000, ZIP, 2646, 16, 165.375000, 
trial0004664, ZIC, 953, 16, 59.562500, ZIP, 3192, 16, 199.500000, 
trial0004665, ZIC, 1741, 16, 108.812500, ZIP, 2007, 16, 125.437500, 
trial0004666, ZIC, 2494, 16, 155.875000, ZIP, 1507, 16, 94.187500, 
trial0004667, ZIC, 1065, 16, 66.562500, ZIP, 2564, 16, 160.250000, 
trial0004668, ZIC, 1571, 16, 98.187500, ZIP, 2439, 16, 152.437500, 
trial0004669, ZIC, 1344, 16, 84.000000, ZIP, 2757, 16, 172.312500, 
trial0004670, ZIC, 1929, 16, 120.562500, ZIP, 2185, 16, 136.562500, 
trial0004671, ZIC, 966, 16, 60.375000, ZIP, 3691, 16, 230.687500, 
trial0004672, ZIC, 1740, 16, 108.750000, ZIP, 2162, 16, 135.125000, 
trial0004673, ZIC, 1654, 16, 103.375000, ZIP, 2406, 16, 150.375000, 
trial0004674, ZIC, 1796, 16, 112.250000, ZIP, 2191, 16, 136.937500, 
trial0004675, ZIC, 1704, 16, 106.500000, ZIP, 2345, 16, 146.562500, 
trial0004676, ZIC, 1232, 16, 77.000000, ZIP, 3164, 16, 197.750000, 
trial0004677, ZIC, 1467, 16, 91.687500, ZIP, 3047, 16, 190.437500, 
trial0004678, ZIC, 2113, 16, 132.062500, ZIP, 1919, 16, 119.937500, 
trial0004679, ZIC, 1025, 16, 64.062500, ZIP, 2686, 16, 167.875000, 
trial0004680, ZIC, 1271, 16, 79.437500, ZIP, 3473, 16, 217.062500, 
trial0004681, ZIC, 3802, 16, 237.625000, ZIP, 5368, 16, 335.500000, 
trial0004682, ZIC, 5927, 16, 370.437500, ZIP, 3413, 16, 213.312500, 
trial0004683, ZIC, 4922, 16, 307.625000, ZIP, 4339, 16, 271.187500, 
trial0004684, ZIC, 5151, 16, 321.937500, ZIP, 4158, 16, 259.875000, 
trial0004685, ZIC, 5242, 16, 327.625000, ZIP, 4126, 16, 257.875000, 
trial0004686, ZIC, 3587, 16, 224.187500, ZIP, 4672, 16, 292.000000, 
trial0004687, ZIC, 4117, 16, 257.312500, ZIP, 5653, 16, 353.312500, 
trial0004688, ZIC, 6489, 16, 405.562500, ZIP, 2274, 16, 142.125000, 
trial0004689, ZIC, 5743, 16, 358.937500, ZIP, 3950, 16, 246.875000, 
trial0004690, ZIC, 4759, 16, 297.437500, ZIP, 4594, 16, 287.125000, 
trial0004691, ZIC, 2660, 16, 166.250000, ZIP, 6539, 16, 408.687500, 
trial0004692, ZIC, 4359, 16, 272.437500, ZIP, 4872, 16, 304.500000, 
trial0004693, ZIC, 5767, 16, 360.437500, ZIP, 3464, 16, 216.500000, 
trial0004694, ZIC, 5307, 16, 331.687500, ZIP, 4443, 16, 277.687500, 
trial0004695, ZIC, 3956, 16, 247.250000, ZIP, 5043, 16, 315.187500, 
trial0004696, ZIC, 4400, 16, 275.000000, ZIP, 4840, 16, 302.500000, 
trial0004697, ZIC, 3826, 16, 239.125000, ZIP, 4419, 16, 276.187500, 
trial0004698, ZIC, 3576, 16, 223.500000, ZIP, 5183, 16, 323.937500, 
trial0004699, ZIC, 5231, 16, 326.937500, ZIP, 4453, 16, 278.312500, 
trial0004700, ZIC, 3383, 16, 211.437500, ZIP, 4360, 16, 272.500000, 
trial0004701, ZIC, 4202, 16, 262.625000, ZIP, 5133, 16, 320.812500, 
trial0004702, ZIC, 4054, 16, 253.375000, ZIP, 5126, 16, 320.375000, 
trial0004703, ZIC, 4033, 16, 252.062500, ZIP, 4610, 16, 288.125000, 
trial0004704, ZIC, 4679, 16, 292.437500, ZIP, 4424, 16, 276.500000, 
trial0004705, ZIC, 2926, 16, 182.875000, ZIP, 6119, 16, 382.437500, 
