trial0003191, AA, 1095, 2, 547.500000, ZIC, 6917, 38, 182.026316, 
trial0003192, AA, 633, 2, 316.500000, ZIC, 6890, 38, 181.315789, 
trial0003193, AA, 885, 2, 442.500000, ZIC, 7543, 38, 198.500000, 
trial0003194, AA, 133, 2, 66.500000, ZIC, 7186, 38, 189.105263, 
trial0003195, AA, 0, 2, 0.000000, ZIC, 7845, 38, 206.447368, 
trial0003196, AA, 246, 2, 123.000000, ZIC, 7534, 38, 198.263158, 
trial0003197, AA, 1384, 2, 692.000000, ZIC, 6507, 38, 171.236842, 
trial0003198, AA, 1361, 2, 680.500000, ZIC, 6520, 38, 171.578947, 
trial0003199, AA, 1220, 2, 610.000000, ZIC, 7108, 38, 187.052632, 
trial0003200, AA, 1217, 2, 608.500000, ZIC, 6941, 38, 182.657895, 
trial0003201, AA, 615, 2, 307.500000, ZIC, 8409, 38, 221.289474, 
trial0003202, AA, 335, 2, 167.500000, ZIC, 7621, 38, 200.552632, 
trial0003203, AA, 915, 2, 457.500000, ZIC, 7633, 38, 200.868421, 
trial0003204, AA, 497, 2, 248.500000, ZIC, 8355, 38, 219.868421, 
trial0003205, AA, 36, 2, 18.000000, ZIC, 8600, 38, 226.315789, 
trial0003206, AA, 1116, 2, 558.000000, ZIC, 8029, 38, 211.289474, 
trial0003207, AA, 1311, 2, 655.500000, ZIC, 6972, 38, 183.473684, 
trial0003208, AA, 1276, 2, 638.000000, ZIC, 7770, 38, 204.473684, 
trial0003209, AA, 1255, 2, 627.500000, ZIC, 7798, 38, 205.210526, 
trial0003210, AA, 927, 2, 463.500000, ZIC, 7314, 38, 192.473684, 
trial0003211, AA, 1004, 2, 502.000000, ZIC, 8266, 38, 217.526316, 
trial0003212, AA, 420, 2, 210.000000, ZIC, 8531, 38, 224.500000, 
trial0003213, AA, 636, 2, 318.000000, ZIC, 8010, 38, 210.789474, 
trial0003214, AA, 803, 2, 401.500000, ZIC, 7790, 38, 205.000000, 
trial0003215, AA, 285, 2, 142.500000, ZIC, 8192, 38, 215.578947, 
trial0003216, AA, 617, 2, 308.500000, ZIC, 8170, 38, 215.000000, 
trial0003217, AA, 1163, 2, 581.500000, ZIC, 7495, 38, 197.236842, 
trial0003218, AA, 23, 2, 11.500000, ZIC, 8994, 38, 236.684211, 
trial0003219, AA, 862, 2, 431.000000, ZIC, 8341, 38, 219.500000, 
trial0003220, AA, 197, 2, 98.500000, ZIC, 8520, 38, 224.210526, 
trial0003221, AA, 495, 2, 247.500000, ZIC, 8552, 38, 225.052632, 
trial0003222, AA, 1724, 2, 862.000000, ZIC, 6999, 38, 184.184211, 
trial0003223, AA, 1672, 2, 836.000000, ZIC, 7302, 38, 192.157895, 
trial0003224, AA, 584, 2, 292.000000, ZIC, 8085, 38, 212.763158, 
trial0003225, AA, 66, 2, 33.000000, ZIC, 9565, 38, 251.710526, 
trial0003226, AA, 841, 2, 420.500000, ZIC, 7568, 38, 199.157895, 
trial0003227, AA, 1221, 2, 610.500000, ZIC, 8087, 38, 212.815789, 
trial0003228, AA, 766, 2, 383.000000, ZIC, 8040, 38, 211.578947, 
trial0003229, AA, 520, 2, 260.000000, ZIC, 8812, 38, 231.894737, 
trial0003230, AA, 511, 2, 255.500000, ZIC, 8370, 38, 220.263158, 
trial0003231, AA, 0, 2, 0.000000, ZIC, 7867, 38, 207.026316, 
trial0003232, AA, 1471, 2, 735.500000, ZIC, 7754, 38, 204.052632, 
