trial0005114, ZIC, 3905, 38, 102.763158, ZIP, 771, 2, 385.500000, 
trial0005115, ZIC, 3657, 38, 96.236842, ZIP, 367, 2, 183.500000, 
trial0005116, ZIC, 4649, 38, 122.342105, ZIP, 184, 2, 92.000000, 
trial0005117, ZIC, 3941, 38, 103.710526, ZIP, 10, 2, 5.000000, 
trial0005118, ZIC, 3908, 38, 102.842105, ZIP, 6, 2, 3.000000, 
trial0005119, ZIC, 4303, 38, 113.236842, ZIP, 168, 2, 84.000000, 
trial0005120, ZIC, 3403, 38, 89.552632, ZIP, 858, 2, 429.000000, 
trial0005121, ZIC, 4557, 38, 119.921053, ZIP, 626, 2, 313.000000, 
trial0005122, ZIC, 4753, 38, 125.078947, ZIP, 627, 2, 313.500000, 
trial0005123, ZIC, 4496, 38, 118.315789, ZIP, 28, 2, 14.000000, 
trial0005124, ZIC, 4310, 38, 113.421053, ZIP, 411, 2, 205.500000, 
trial0005125, ZIC, 3849, 38, 101.289474, ZIP, 1251, 2, 625.500000, 
trial0005126, ZIC, 4333, 38, 114.026316, ZIP, 173, 2, 86.500000, 
trial0005127, ZIC, 3855, 38, 101.447368, ZIP, 668, 2, 334.000000, 
trial0005128, ZIC, 4139, 38, 108.921053, ZIP, 734, 2, 367.000000, 
trial0005129, ZIC, 3863, 38, 101.657895, ZIP, 983, 2, 491.500000, 
trial0005130, ZIC, 4104, 38, 108.000000, ZIP, 37, 2, 18.500000, 
trial0005131, ZIC, 4424, 38, 116.421053, ZIP, 337, 2, 168.500000, 
trial0005132, ZIC, 3234, 38, 85.105263, ZIP, 968, 2, 484.000000, 
trial0005133, ZIC, 4075, 38, 107.236842, ZIP, 645, 2, 322.500000, 
trial0005134, ZIC, 3992, 38, 105.052632, ZIP, 355, 2, 177.500000, 
trial0005135, ZIC, 4361, 38, 114.763158, ZIP, 53, 2, 26.500000, 
trial0005136, ZIC, 4177, 38, 109.921053, ZIP, 27, 2, 13.500000, 
trial0005137, ZIC, 3794, 38, 99.842105, ZIP, 496, 2, 248.000000, 
trial0005138, ZIC, 4244, 38, 111.684211, ZIP, 595, 2, 297.500000, 
trial0005139, ZIC, 4180, 38, 110.000000, ZIP, 717, 2, 358.500000, 
trial0005140, ZIC, 4311, 38, 113.447368, ZIP, 416, 2, 208.000000, 
trial0005141, ZIC, 4147, 38, 109.131579, ZIP, 907, 2, 453.500000, 
trial0005142, ZIC, 4704, 38, 123.789474, ZIP, 25, 2, 12.500000, 
trial0005143, ZIC, 3534, 38, 93.000000, ZIP, 893, 2, 446.500000, 
trial0005144, ZIC, 3449, 38, 90.763158, ZIP, 607, 2, 303.500000, 
trial0005145, ZIC, 4928, 38, 129.684211, ZIP, 261, 2, 130.500000, 
trial0005146, ZIC, 4531, 38, 119.236842, ZIP, 483, 2, 241.500000, 
trial0005147, ZIC, 4027, 38, 105.973684, ZIP, 573, 2, 286.500000, 
trial0005148, ZIC, 4252, 38, 111.894737, ZIP, 749, 2, 374.500000, 
trial0005149, ZIC, 4583, 38, 120.605263, ZIP, 268, 2, 134.000000, 
trial0005150, ZIC, 3963, 38, 104.289474, ZIP, 531, 2, 265.500000, 
trial0005151, ZIC, 4877, 38, 128.342105, ZIP, 8, 2, 4.000000, 
trial0005152, ZIC, 4135, 38, 108.815789, ZIP, 20, 2, 10.000000, 
trial0005153, ZIC, 4289, 38, 112.868421, ZIP, 339, 2, 169.500000, 
trial0005154, ZIC, 4282, 38, 112.684211, ZIP, 51, 2, 25.500000, 
trial0005155, ZIC, 4421, 38, 116.342105, ZIP, 443, 2, 221.500000, 
trial0005156, ZIC, 4178, 38, 109.947368, ZIP, 478, 2, 239.000000, 
trial0005157, ZIC, 3917, 38, 103.078947, ZIP, 567, 2, 283.500000, 
trial0005158, ZIC, 4005, 38, 105.394737, ZIP, 283, 2, 141.500000, 
trial0005159, ZIC, 3900, 38, 102.631579, ZIP, 582, 2, 291.000000, 
trial0005160, ZIC, 4426, 38, 116.473684, ZIP, 563, 2, 281.500000, 
trial0005161, ZIC, 3680, 38, 96.842105, ZIP, 593, 2, 296.500000, 
trial0005162, ZIC, 4076, 38, 107.263158, ZIP, 61, 2, 30.500000, 
trial0005163, ZIC, 4422, 38, 116.368421, ZIP, 220, 2, 110.000000, 
trial0005164, ZIC, 5045, 38, 132.763158, ZIP, 26, 2, 13.000000, 
trial0005165, ZIC, 3798, 38, 99.947368, ZIP, 703, 2, 351.500000, 
trial0005166, ZIC, 4247, 38, 111.763158, ZIP, 404, 2, 202.000000, 
trial0005167, ZIC, 3338, 38, 87.842105, ZIP, 886, 2, 443.000000, 
trial0005168, ZIC, 4171, 38, 109.763158, ZIP, 419, 2, 209.500000, 
trial0005169, ZIC, 4768, 38, 125.473684, ZIP, 7, 2, 3.500000, 
trial0005170, ZIC, 3928, 38, 103.368421, ZIP, 266, 2, 133.000000, 
trial0005171, ZIC, 4405, 38, 115.921053, ZIP, 246, 2, 123.000000, 
trial0005172, ZIC, 3833, 38, 100.868421, ZIP, 878, 2, 439.000000, 
trial0005173, ZIC, 3629, 38, 95.500000, ZIP, 561, 2, 280.500000, 
trial0005174, ZIC, 4262, 38, 112.157895, ZIP, 241, 2, 120.500000, 
trial0005175, ZIC, 4272, 38, 112.421053, ZIP, 604, 2, 302.000000, 
trial0005176, ZIC, 3533, 38, 92.973684, ZIP, 837, 2, 418.500000, 
trial0005177, ZIC, 3799, 38, 99.973684, ZIP, 743, 2, 371.500000, 
trial0005178, ZIC, 3977, 38, 104.657895, ZIP, 432, 2, 216.000000, 
trial0005179, ZIC, 4136, 38, 108.842105, ZIP, 265, 2, 132.500000, 
trial0005180, ZIC, 4243, 38, 111.657895, ZIP, 59, 2, 29.500000, 
trial0005181, ZIC, 4727, 38, 124.394737, ZIP, 346, 2, 173.000000, 
trial0005182, ZIC, 2999, 38, 78.921053, ZIP, 769, 2, 384.500000, 
trial0005183, ZIC, 4681, 38, 123.184211, ZIP, 88, 2, 44.000000, 
trial0005184, ZIC, 4526, 38, 119.105263, ZIP, 0, 2, 0.000000, 
trial0005185, ZIC, 4523, 38, 119.026316, ZIP, 56, 2, 28.000000, 
trial0005186, ZIC, 3890, 38, 102.368421, ZIP, 290, 2, 145.000000, 
trial0005187, ZIC, 4185, 38, 110.131579, ZIP, 19, 2, 9.500000, 
trial0005188, ZIC, 4204, 38, 110.631579, ZIP, 151, 2, 75.500000, 
trial0005189, ZIC, 4064, 38, 106.947368, ZIP, 951, 2, 475.500000, 
trial0005190, ZIC, 4391, 38, 115.552632, ZIP, 17, 2, 8.500000, 
trial0005191, ZIC, 3805, 38, 100.131579, ZIP, 597, 2, 298.500000, 
trial0005192, ZIC, 3856, 38, 101.473684, ZIP, 299, 2, 149.500000, 
trial0005193, ZIC, 3463, 38, 91.131579, ZIP, 604, 2, 302.000000, 
trial0005194, ZIC, 4040, 38, 106.315789, ZIP, 606, 2, 303.000000, 
trial0005195, ZIC, 3497, 38, 92.026316, ZIP, 424, 2, 212.000000, 
trial0005196, ZIC, 3853, 38, 101.394737, ZIP, 871, 2, 435.500000, 
trial0005197, ZIC, 4133, 38, 108.763158, ZIP, 309, 2, 154.500000, 
trial0005198, ZIC, 4676, 38, 123.052632, ZIP, 20, 2, 10.000000, 
trial0005199, ZIC, 4521, 38, 118.973684, ZIP, 122, 2, 61.000000, 
trial0005200, ZIC, 4112, 38, 108.210526, ZIP, 413, 2, 206.500000, 
trial0005201, ZIC, 3489, 38, 91.815789, ZIP, 302, 2, 151.000000, 
trial0005202, ZIC, 4068, 38, 107.052632, ZIP, 521, 2, 260.500000, 
trial0005203, ZIC, 3867, 38, 101.763158, ZIP, 682, 2, 341.000000, 
trial0005204, ZIC, 4118, 38, 108.368421, ZIP, 2, 2, 1.000000, 
trial0005205, ZIC, 4444, 38, 116.947368, ZIP, 456, 2, 228.000000, 
trial0005206, ZIC, 4814, 38, 126.684211, ZIP, 17, 2, 8.500000, 
trial0005207, ZIC, 3752, 38, 98.736842, ZIP, 671, 2, 335.500000, 
trial0005208, ZIC, 4609, 38, 121.289474, ZIP, 14, 2, 7.000000, 
trial0005209, ZIC, 5137, 38, 135.184211, ZIP, 85, 2, 42.500000, 
trial0005210, ZIC, 4266, 38, 112.263158, ZIP, 573, 2, 286.500000, 
trial0005211, ZIC, 3945, 38, 103.815789, ZIP, 283, 2, 141.500000, 
trial0005212, ZIC, 4251, 38, 111.868421, ZIP, 55, 2, 27.500000, 
trial0005213, ZIC, 4518, 38, 118.894737, ZIP, 663, 2, 331.500000, 
trial0005214, ZIC, 4121, 38, 108.447368, ZIP, 414, 2, 207.000000, 
trial0005215, ZIC, 4452, 38, 117.157895, ZIP, 466, 2, 233.000000, 
trial0005216, ZIC, 4615, 38, 121.447368, ZIP, 98, 2, 49.000000, 
trial0005217, ZIC, 4720, 38, 124.210526, ZIP, 112, 2, 56.000000, 
trial0005218, ZIC, 4790, 38, 126.052632, ZIP, 441, 2, 220.500000, 
trial0005219, ZIC, 4464, 38, 117.473684, ZIP, 158, 2, 79.000000, 
trial0005220, ZIC, 3887, 38, 102.289474, ZIP, 429, 2, 214.500000, 
trial0005221, ZIC, 4377, 38, 115.184211, ZIP, 426, 2, 213.000000, 
trial0005222, ZIC, 4000, 38, 105.263158, ZIP, 207, 2, 103.500000, 
trial0005223, ZIC, 4494, 38, 118.263158, ZIP, 217, 2, 108.500000, 
trial0005224, ZIC, 4231, 38, 111.342105, ZIP, 104, 2, 52.000000, 
trial0005225, ZIC, 3990, 38, 105.000000, ZIP, 183, 2, 91.500000, 
trial0005226, ZIC, 4838, 38, 127.315789, ZIP, 343, 2, 171.500000, 
trial0005227, ZIC, 4899, 38, 128.921053, ZIP, 5, 2, 2.500000, 
trial0005228, ZIC, 3985, 38, 104.868421, ZIP, 650, 2, 325.000000, 
trial0005229, ZIC, 4733, 38, 124.552632, ZIP, 302, 2, 151.000000, 
trial0005230, ZIC, 4792, 38, 126.105263, ZIP, 314, 2, 157.000000, 
trial0005231, ZIC, 4661, 38, 122.657895, ZIP, 410, 2, 205.000000, 
trial0005232, ZIC, 4393, 38, 115.605263, ZIP, 720, 2, 360.000000, 
trial0005233, ZIC, 3900, 38, 102.631579, ZIP, 586, 2, 293.000000, 
trial0005234, ZIC, 4734, 38, 124.578947, ZIP, 627, 2, 313.500000, 
trial0005235, ZIC, 3892, 38, 102.421053, ZIP, 818, 2, 409.000000, 
trial0005236, ZIC, 4053, 38, 106.657895, ZIP, 253, 2, 126.500000, 
trial0005237, ZIC, 4337, 38, 114.131579, ZIP, 560, 2, 280.000000, 
trial0005238, ZIC, 4742, 38, 124.789474, ZIP, 815, 2, 407.500000, 
trial0005239, ZIC, 4413, 38, 116.131579, ZIP, 144, 2, 72.000000, 
trial0005240, ZIC, 4786, 38, 125.947368, ZIP, 546, 2, 273.000000, 
trial0005241, ZIC, 4241, 38, 111.605263, ZIP, 28, 2, 14.000000, 
trial0005242, ZIC, 4732, 38, 124.526316, ZIP, 759, 2, 379.500000, 
trial0005243, ZIC, 4360, 38, 114.736842, ZIP, 760, 2, 380.000000, 
trial0005244, ZIC, 4831, 38, 127.131579, ZIP, 314, 2, 157.000000, 
trial0005245, ZIC, 4373, 38, 115.078947, ZIP, 216, 2, 108.000000, 
trial0005246, ZIC, 4392, 38, 115.578947, ZIP, 186, 2, 93.000000, 
trial0005247, ZIC, 4530, 38, 119.210526, ZIP, 521, 2, 260.500000, 
trial0005248, ZIC, 3884, 38, 102.210526, ZIP, 654, 2, 327.000000, 
trial0005249, ZIC, 4204, 38, 110.631579, ZIP, 349, 2, 174.500000, 
trial0005250, ZIC, 4567, 38, 120.184211, ZIP, 385, 2, 192.500000, 
trial0005251, ZIC, 4485, 38, 118.026316, ZIP, 323, 2, 161.500000, 
trial0005252, ZIC, 4405, 38, 115.921053, ZIP, 337, 2, 168.500000, 
trial0005253, ZIC, 4005, 38, 105.394737, ZIP, 399, 2, 199.500000, 
trial0005254, ZIC, 4318, 38, 113.631579, ZIP, 728, 2, 364.000000, 
trial0005255, ZIC, 4045, 38, 106.447368, ZIP, 852, 2, 426.000000, 
trial0005256, ZIC, 4187, 38, 110.184211, ZIP, 925, 2, 462.500000, 
trial0005257, ZIC, 4114, 38, 108.263158, ZIP, 802, 2, 401.000000, 
trial0005258, ZIC, 4203, 38, 110.605263, ZIP, 419, 2, 209.500000, 
