trial0002093, 000600, AA, 772, 10, 77.200000, GDX, 1057, 18, 58.722222, ZIC, 596, 4, 149.000000, 92, 107, 
trial0002094, 000600, AA, 776, 10, 77.600000, GDX, 1364, 18, 75.777778, ZIC, 608, 4, 152.000000, 95, 101, 
trial0002095, 000600, AA, 954, 10, 95.400000, GDX, 1186, 18, 65.888889, ZIC, 303, 4, 75.750000, 92, 116, 
trial0002096, 000600, AA, 804, 10, 80.400000, GDX, 1256, 18, 69.777778, ZIC, 484, 4, 121.000000, 93, 100, 
trial0002097, 000600, AA, 533, 10, 53.300000, GDX, 612, 18, 34.000000, ZIC, 716, 4, 179.000000, 65, 84, 
trial0002098, 000600, AA, 696, 10, 69.600000, GDX, 1340, 18, 74.444444, ZIC, 78, 4, 19.500000, 98, 115, 
trial0002099, 000600, AA, 1364, 10, 136.400000, GDX, 1736, 18, 96.444444, ZIC, 331, 4, 82.750000, 60, 99, 
trial0002100, 000600, AA, 1062, 10, 106.200000, GDX, 1234, 18, 68.555556, ZIC, 499, 4, 124.750000, 95, 102, 
trial0002101, 000600, AA, 179, 10, 17.900000, GDX, 303, 18, 16.833333, ZIC, 45, 4, 11.250000, 121, 122, 
trial0002102, 000600, AA, 30, 10, 3.000000, GDX, 269, 18, 14.944444, ZIC, 6, 4, 1.500000, 110, 120, 
trial0002103, 000600, AA, 276, 10, 27.600000, GDX, 422, 18, 23.444444, ZIC, 0, 4, 0.000000, 117, 120, 
trial0002104, 000600, AA, 345, 10, 34.500000, GDX, 483, 18, 26.833333, ZIC, 49, 4, 12.250000, 125, 139, 
trial0002105, 000600, AA, 178, 10, 17.800000, GDX, 168, 18, 9.333333, ZIC, 69, 4, 17.250000, 116, 123, 
trial0002106, 000600, AA, 122, 10, 12.200000, GDX, 130, 18, 7.222222, ZIC, 69, 4, 17.250000, 108, N, 
trial0002107, 000600, AA, 120, 10, 12.000000, GDX, 115, 18, 6.388889, ZIC, 150, 4, 37.500000, 125, 128, 
trial0002108, 000600, AA, 65, 10, 6.500000, GDX, 378, 18, 21.000000, ZIC, 140, 4, 35.000000, 112, 132, 
trial0002109, 000600, AA, 64, 10, 6.400000, GDX, 484, 18, 26.888889, ZIC, 98, 4, 24.500000, 117, 147, 
trial0002110, 000600, AA, 0, 10, 0.000000, GDX, 318, 18, 17.666667, ZIC, 234, 4, 58.500000, 130, 136, 
trial0002111, 000600, AA, 275, 10, 27.500000, GDX, 524, 18, 29.111111, ZIC, 56, 4, 14.000000, 133, 138, 
trial0002112, 000600, AA, 133, 10, 13.300000, GDX, 277, 18, 15.388889, ZIC, 46, 4, 11.500000, 108, 130, 
trial0002113, 000600, AA, 12, 10, 1.200000, GDX, 586, 18, 32.555556, ZIC, 15, 4, 3.750000, 116, 122, 
trial0002114, 000600, AA, 90, 10, 9.000000, GDX, 166, 18, 9.222222, ZIC, 0, 4, 0.000000, 116, 139, 
trial0002115, 000600, AA, 275, 10, 27.500000, GDX, 375, 18, 20.833333, ZIC, 133, 4, 33.250000, 114, 131, 
trial0002116, 000600, AA, 48, 10, 4.800000, GDX, 265, 18, 14.722222, ZIC, 78, 4, 19.500000, 120, 128, 
trial0002117, 000600, AA, 4, 10, 0.400000, GDX, 84, 18, 4.666667, ZIC, 57, 4, 14.250000, 134, 144, 
trial0002118, 000600, AA, 107, 10, 10.700000, GDX, 232, 18, 12.888889, ZIC, 89, 4, 22.250000, 131, 148, 
trial0002119, 000600, AA, 173, 10, 17.300000, GDX, 456, 18, 25.333333, ZIC, 40, 4, 10.000000, 77, 127, 
trial0002120, 000600, AA, 181, 10, 18.100000, GDX, 198, 18, 11.000000, ZIC, 31, 4, 7.750000, 125, 127, 
trial0002121, 000600, AA, 402, 10, 40.200000, GDX, 514, 18, 28.555556, ZIC, 124, 4, 31.000000, 62, 132, 
trial0002122, 000600, AA, 239, 10, 23.900000, GDX, 358, 18, 19.888889, ZIC, 77, 4, 19.250000, 95, 127, 
trial0002123, 000600, AA, 83, 10, 8.300000, GDX, 310, 18, 17.222222, ZIC, 151, 4, 37.750000, 100, 101, 
trial0002124, 000600, AA, 178, 10, 17.800000, GDX, 338, 18, 18.777778, ZIC, 429, 4, 107.250000, 132, 145, 
trial0002125, 000600, AA, 87, 10, 8.700000, GDX, 361, 18, 20.055556, ZIC, 181, 4, 45.250000, 93, 110, 
trial0002126, 000600, AA, 479, 10, 47.900000, GDX, 435, 18, 24.166667, ZIC, 48, 4, 12.000000, 98, 107, 
trial0002127, 000600, AA, 364, 10, 36.400000, GDX, 519, 18, 28.833333, ZIC, 90, 4, 22.500000, 128, 132, 
trial0002128, 000600, AA, 154, 10, 15.400000, GDX, 379, 18, 21.055556, ZIC, 207, 4, 51.750000, 132, 154, 
trial0002129, 000600, AA, 113, 10, 11.300000, GDX, 229, 18, 12.722222, ZIC, 24, 4, 6.000000, 122, 139, 
trial0002130, 000600, AA, 139, 10, 13.900000, GDX, 644, 18, 35.777778, ZIC, 46, 4, 11.500000, N, 184, 
trial0002131, 000600, AA, 172, 10, 17.200000, GDX, 352, 18, 19.555556, ZIC, 16, 4, 4.000000, 0, N, 
trial0002132, 000600, AA, 229, 10, 22.900000, GDX, 579, 18, 32.166667, ZIC, 130, 4, 32.500000, 138, 146, 
trial0002133, 000600, AA, 302, 10, 30.200000, GDX, 573, 18, 31.833333, ZIC, 0, 4, 0.000000, 108, 149, 
trial0002134, 000600, AA, 130, 10, 13.000000, GDX, 167, 18, 9.277778, ZIC, 322, 4, 80.500000, 74, 120, 
trial0002135, 000600, AA, 99, 10, 9.900000, GDX, 425, 18, 23.611111, ZIC, 26, 4, 6.500000, 96, 105, 
trial0002136, 000600, AA, 225, 10, 22.500000, GDX, 306, 18, 17.000000, ZIC, 444, 4, 111.000000, 100, 106, 
trial0002137, 000600, AA, 197, 10, 19.700000, GDX, 380, 18, 21.111111, ZIC, 216, 4, 54.000000, 71, 103, 
trial0002138, 000600, AA, 177, 10, 17.700000, GDX, 467, 18, 25.944444, ZIC, 59, 4, 14.750000, 106, 109, 
trial0002139, 000600, AA, 702, 10, 70.200000, GDX, 294, 18, 16.333333, ZIC, 77, 4, 19.250000, 58, 109, 
trial0002140, 000600, AA, 7, 10, 0.700000, GDX, 405, 18, 22.500000, ZIC, 51, 4, 12.750000, 92, 163, 
trial0002141, 000600, AA, 559, 10, 55.900000, GDX, 931, 18, 51.722222, ZIC, 279, 4, 69.750000, 106, 124, 
trial0002142, 000600, AA, 735, 10, 73.500000, GDX, 1505, 18, 83.611111, ZIC, 232, 4, 58.000000, 114, 123, 
trial0002143, 000600, AA, 562, 10, 56.200000, GDX, 893, 18, 49.611111, ZIC, 563, 4, 140.750000, 121, 125, 
trial0002144, 000600, AA, 638, 10, 63.800000, GDX, 792, 18, 44.000000, ZIC, 387, 4, 96.750000, 78, 148, 
trial0002145, 000600, AA, 943, 10, 94.300000, GDX, 937, 18, 52.055556, ZIC, 150, 4, 37.500000, 128, 136, 
trial0002146, 000600, AA, 818, 10, 81.800000, GDX, 1630, 18, 90.555556, ZIC, 349, 4, 87.250000, 98, 109, 
trial0002147, 000600, AA, 1190, 10, 119.000000, GDX, 1100, 18, 61.111111, ZIC, 58, 4, 14.500000, 98, 108, 
trial0002148, 000600, AA, 1258, 10, 125.800000, GDX, 1140, 18, 63.333333, ZIC, 428, 4, 107.000000, 88, 107, 
trial0002149, 000600, AA, 777, 10, 77.700000, GDX, 1547, 18, 85.944444, ZIC, 496, 4, 124.000000, 81, 118, 
trial0002150, 000600, AA, 871, 10, 87.100000, GDX, 1507, 18, 83.722222, ZIC, 61, 4, 15.250000, 124, 125, 
trial0002151, 000600, AA, 266, 10, 26.600000, GDX, 699, 18, 38.833333, ZIC, 817, 4, 204.250000, 88, 105, 
trial0002152, 000600, AA, 1129, 10, 112.900000, GDX, 1153, 18, 64.055556, ZIC, 376, 4, 94.000000, 78, 95, 
trial0002153, 000600, AA, 633, 10, 63.300000, GDX, 1463, 18, 81.277778, ZIC, 582, 4, 145.500000, 110, 128, 
trial0002154, 000600, AA, 564, 10, 56.400000, GDX, 739, 18, 41.055556, ZIC, 674, 4, 168.500000, 76, 118, 
trial0002155, 000600, AA, 559, 10, 55.900000, GDX, 1224, 18, 68.000000, ZIC, 118, 4, 29.500000, 70, 102, 
trial0002156, 000600, AA, 1108, 10, 110.800000, GDX, 1188, 18, 66.000000, ZIC, 202, 4, 50.500000, 71, 115, 
trial0002157, 000600, AA, 521, 10, 52.100000, GDX, 1629, 18, 90.500000, ZIC, 348, 4, 87.000000, 70, 113, 
trial0002158, 000600, AA, 926, 10, 92.600000, GDX, 1359, 18, 75.500000, ZIC, 0, 4, 0.000000, 124, 128, 
trial0002159, 000600, AA, 731, 10, 73.100000, GDX, 1148, 18, 63.777778, ZIC, 289, 4, 72.250000, 116, 142, 
trial0002160, 000600, AA, 216, 10, 21.600000, GDX, 699, 18, 38.833333, ZIC, 378, 4, 94.500000, 86, 97, 
trial0002161, 000600, AA, 779, 10, 77.900000, GDX, 356, 18, 19.777778, ZIC, 458, 4, 114.500000, 78, 107, 
trial0002162, 000600, AA, 121, 10, 12.100000, GDX, 827, 18, 45.944444, ZIC, 235, 4, 58.750000, 102, 144, 
trial0002163, 000600, AA, 1234, 10, 123.400000, GDX, 635, 18, 35.277778, ZIC, 125, 4, 31.250000, 29, N, 
trial0002164, 000600, AA, 539, 10, 53.900000, GDX, 1049, 18, 58.277778, ZIC, 321, 4, 80.250000, 108, 110, 
trial0002165, 000600, AA, 557, 10, 55.700000, GDX, 386, 18, 21.444444, ZIC, 529, 4, 132.250000, 72, 87, 
trial0002166, 000600, AA, 369, 10, 36.900000, GDX, 685, 18, 38.055556, ZIC, 409, 4, 102.250000, 69, 110, 
trial0002167, 000600, AA, 180, 10, 18.000000, GDX, 376, 18, 20.888889, ZIC, 740, 4, 185.000000, 51, 80, 
trial0002168, 000600, AA, 127, 10, 12.700000, GDX, 863, 18, 47.944444, ZIC, 532, 4, 133.000000, 112, 133, 
trial0002169, 000600, AA, 93, 10, 9.300000, GDX, 263, 18, 14.611111, ZIC, 64, 4, 16.000000, 88, 99, 
trial0002170, 000600, AA, 201, 10, 20.100000, GDX, 1284, 18, 71.333333, ZIC, 561, 4, 140.250000, 92, 132, 
trial0002171, 000600, AA, 424, 10, 42.400000, GDX, 834, 18, 46.333333, ZIC, 538, 4, 134.500000, 122, 127, 
trial0002172, 000600, AA, 639, 10, 63.900000, GDX, 982, 18, 54.555556, ZIC, 206, 4, 51.500000, 110, 111, 
trial0002173, 000600, AA, 836, 10, 83.600000, GDX, 604, 18, 33.555556, ZIC, 309, 4, 77.250000, 98, 128, 
trial0002174, 000600, AA, 314, 10, 31.400000, GDX, 708, 18, 39.333333, ZIC, 342, 4, 85.500000, 110, 112, 
trial0002175, 000600, AA, 873, 10, 87.300000, GDX, 818, 18, 45.444444, ZIC, 58, 4, 14.500000, 98, 156, 
trial0002176, 000600, AA, 414, 10, 41.400000, GDX, 727, 18, 40.388889, ZIC, 308, 4, 77.000000, 97, 141, 
trial0002177, 000600, AA, 463, 10, 46.300000, GDX, 918, 18, 51.000000, ZIC, 578, 4, 144.500000, 77, 121, 
trial0002178, 000600, AA, 336, 10, 33.600000, GDX, 396, 18, 22.000000, ZIC, 565, 4, 141.250000, 94, 107, 
trial0002179, 000600, AA, 91, 10, 9.100000, GDX, 766, 18, 42.555556, ZIC, 437, 4, 109.250000, 44, 56, 
trial0002180, 000600, AA, 113, 10, 11.300000, GDX, 520, 18, 28.888889, ZIC, 419, 4, 104.750000, 98, 112, 
trial0002181, 000600, AA, 1324, 10, 132.400000, GDX, 848, 18, 47.111111, ZIC, 423, 4, 105.750000, 84, 161, 
trial0002182, 000600, AA, 804, 10, 80.400000, GDX, 738, 18, 41.000000, ZIC, 846, 4, 211.500000, 75, 110, 
trial0002183, 000600, AA, 793, 10, 79.300000, GDX, 989, 18, 54.944444, ZIC, 62, 4, 15.500000, 110, 112, 
trial0002184, 000600, AA, 942, 10, 94.200000, GDX, 1284, 18, 71.333333, ZIC, 302, 4, 75.500000, 98, 107, 
trial0002185, 000600, AA, 1291, 10, 129.100000, GDX, 1515, 18, 84.166667, ZIC, 304, 4, 76.000000, 68, 87, 
trial0002186, 000600, AA, 1306, 10, 130.600000, GDX, 1416, 18, 78.666667, ZIC, 646, 4, 161.500000, 100, 110, 
trial0002187, 000600, AA, 233, 10, 23.300000, GDX, 557, 18, 30.944444, ZIC, 1107, 4, 276.750000, 84, 85, 
trial0002188, 000600, AA, 1060, 10, 106.000000, GDX, 1645, 18, 91.388889, ZIC, 412, 4, 103.000000, 96, 99, 
trial0002189, 000600, AA, 668, 10, 66.800000, GDX, 990, 18, 55.000000, ZIC, 257, 4, 64.250000, 70, 95, 
trial0002190, 000600, AA, 435, 10, 43.500000, GDX, 1278, 18, 71.000000, ZIC, 9, 4, 2.250000, 76, 87, 
trial0002191, 000600, AA, 1146, 10, 114.600000, GDX, 1568, 18, 87.111111, ZIC, 376, 4, 94.000000, 92, 113, 
trial0002192, 000600, AA, 1232, 10, 123.200000, GDX, 1191, 18, 66.166667, ZIC, 326, 4, 81.500000, 82, 109, 
trial0002193, 000600, AA, 829, 10, 82.900000, GDX, 723, 18, 40.166667, ZIC, 16, 4, 4.000000, 88, 101, 
trial0002194, 000600, AA, 32, 10, 3.200000, GDX, 1777, 18, 98.722222, ZIC, 507, 4, 126.750000, 58, 86, 
trial0002195, 000600, AA, 857, 10, 85.700000, GDX, 974, 18, 54.111111, ZIC, 4, 4, 1.000000, 88, 123, 
trial0002196, 000600, AA, 928, 10, 92.800000, GDX, 1937, 18, 107.611111, ZIC, 715, 4, 178.750000, 88, 113, 
trial0002197, 000600, AA, 724, 10, 72.400000, GDX, 686, 18, 38.111111, ZIC, 543, 4, 135.750000, 80, 113, 
trial0002198, 000600, AA, 1015, 10, 101.500000, GDX, 1227, 18, 68.166667, ZIC, 282, 4, 70.500000, 94, 99, 
trial0002199, 000600, AA, 839, 10, 83.900000, GDX, 2477, 18, 137.611111, ZIC, 221, 4, 55.250000, 96, 104, 
trial0002200, 000600, AA, 678, 10, 67.800000, GDX, 1792, 18, 99.555556, ZIC, 412, 4, 103.000000, 82, 120, 
trial0002201, 000600, AA, 517, 10, 51.700000, GDX, 593, 18, 32.944444, ZIC, 293, 4, 73.250000, 118, 137, 
trial0002202, 000600, AA, 118, 10, 11.800000, GDX, 506, 18, 28.111111, ZIC, 122, 4, 30.500000, 95, 133, 
trial0002203, 000600, AA, 453, 10, 45.300000, GDX, 1253, 18, 69.611111, ZIC, 79, 4, 19.750000, 132, 133, 
trial0002204, 000600, AA, 261, 10, 26.100000, GDX, 389, 18, 21.611111, ZIC, 87, 4, 21.750000, 120, 159, 
