trial0000108, AA, 3267, 20, 163.350000, GDX, 3860, 20, 193.000000, 
trial0000109, AA, 2701, 20, 135.050000, GDX, 4707, 20, 235.350000, 
trial0000110, AA, 3437, 20, 171.850000, GDX, 3582, 20, 179.100000, 
trial0000111, AA, 3774, 20, 188.700000, GDX, 3320, 20, 166.000000, 
trial0000112, AA, 4517, 20, 225.850000, GDX, 2656, 20, 132.800000, 
trial0000113, AA, 3322, 20, 166.100000, GDX, 3933, 20, 196.650000, 
trial0000114, AA, 2155, 20, 107.750000, GDX, 4884, 20, 244.200000, 
trial0000115, AA, 3299, 20, 164.950000, GDX, 3172, 20, 158.600000, 
trial0000116, AA, 3928, 20, 196.400000, GDX, 3221, 20, 161.050000, 
trial0000117, AA, 4029, 20, 201.450000, GDX, 3177, 20, 158.850000, 
trial0000118, AA, 3960, 20, 198.000000, GDX, 3055, 20, 152.750000, 
trial0000119, AA, 3134, 20, 156.700000, GDX, 4219, 20, 210.950000, 
trial0000120, AA, 3174, 20, 158.700000, GDX, 3678, 20, 183.900000, 
trial0000121, AA, 3588, 20, 179.400000, GDX, 3344, 20, 167.200000, 
trial0000122, AA, 2076, 20, 103.800000, GDX, 5050, 20, 252.500000, 
trial0000123, AA, 2903, 20, 145.150000, GDX, 4079, 20, 203.950000, 
trial0000124, AA, 4741, 20, 237.050000, GDX, 2563, 20, 128.150000, 
trial0000125, AA, 4384, 20, 219.200000, GDX, 2986, 20, 149.300000, 
trial0000126, AA, 3037, 20, 151.850000, GDX, 4018, 20, 200.900000, 
trial0000127, AA, 3819, 20, 190.950000, GDX, 2217, 20, 110.850000, 
trial0000128, AA, 3822, 20, 191.100000, GDX, 3612, 20, 180.600000, 
trial0000129, AA, 3428, 20, 171.400000, GDX, 3826, 20, 191.300000, 
trial0000130, AA, 2659, 20, 132.950000, GDX, 4399, 20, 219.950000, 
trial0000131, AA, 3827, 20, 191.350000, GDX, 3341, 20, 167.050000, 
trial0000132, AA, 2693, 20, 134.650000, GDX, 4490, 20, 224.500000, 
trial0000133, AA, 2761, 20, 138.050000, GDX, 4352, 20, 217.600000, 
trial0000134, AA, 4410, 20, 220.500000, GDX, 2186, 20, 109.300000, 
trial0000135, AA, 3837, 20, 191.850000, GDX, 3110, 20, 155.500000, 
trial0000136, AA, 4291, 20, 214.550000, GDX, 2985, 20, 149.250000, 
trial0000137, AA, 3041, 20, 152.050000, GDX, 3809, 20, 190.450000, 
trial0000138, AA, 4919, 20, 245.950000, GDX, 2234, 20, 111.700000, 
trial0000139, AA, 3314, 20, 165.700000, GDX, 3657, 20, 182.850000, 
trial0000140, AA, 2484, 20, 124.200000, GDX, 4292, 20, 214.600000, 
trial0000141, AA, 3315, 20, 165.750000, GDX, 3740, 20, 187.000000, 
trial0000142, AA, 4575, 20, 228.750000, GDX, 2793, 20, 139.650000, 
trial0000143, AA, 3290, 20, 164.500000, GDX, 3799, 20, 189.950000, 
trial0000144, AA, 3444, 20, 172.200000, GDX, 3462, 20, 173.100000, 
trial0000145, AA, 4876, 20, 243.800000, GDX, 1858, 20, 92.900000, 
trial0000146, AA, 3318, 20, 165.900000, GDX, 3867, 20, 193.350000, 
trial0000147, AA, 4030, 20, 201.500000, GDX, 3145, 20, 157.250000, 
trial0000148, AA, 3649, 20, 182.450000, GDX, 3392, 20, 169.600000, 
trial0000149, AA, 4421, 20, 221.050000, GDX, 2562, 20, 128.100000, 
trial0000150, AA, 3768, 20, 188.400000, GDX, 2974, 20, 148.700000, 
trial0000151, AA, 4254, 20, 212.700000, GDX, 2881, 20, 144.050000, 
trial0000152, AA, 4721, 20, 236.050000, GDX, 2172, 20, 108.600000, 
trial0000153, AA, 3574, 20, 178.700000, GDX, 3581, 20, 179.050000, 
trial0000154, AA, 2591, 20, 129.550000, GDX, 4539, 20, 226.950000, 
trial0000155, AA, 3425, 20, 171.250000, GDX, 3859, 20, 192.950000, 
trial0000156, AA, 3428, 20, 171.400000, GDX, 3253, 20, 162.650000, 
trial0000157, AA, 4495, 20, 224.750000, GDX, 2957, 20, 147.850000, 
trial0000158, AA, 3936, 20, 196.800000, GDX, 3225, 20, 161.250000, 
trial0000159, AA, 3950, 20, 197.500000, GDX, 2772, 20, 138.600000, 
trial0000160, AA, 4651, 20, 232.550000, GDX, 1714, 20, 85.700000, 
trial0000161, AA, 5177, 20, 258.850000, GDX, 1802, 20, 90.100000, 
trial0000162, AA, 2685, 20, 134.250000, GDX, 4164, 20, 208.200000, 
trial0000163, AA, 3120, 20, 156.000000, GDX, 4234, 20, 211.700000, 
trial0000164, AA, 3515, 20, 175.750000, GDX, 3264, 20, 163.200000, 
