trial0003168, GDX, 1561, 14, 111.500000, ZIC, 1480, 14, 105.714286, ZIP, 1843, 14, 131.642857, 
trial0003169, GDX, 2671, 14, 190.785714, ZIC, 461, 14, 32.928571, ZIP, 2118, 14, 151.285714, 
trial0003170, GDX, 1345, 14, 96.071429, ZIC, 1465, 14, 104.642857, ZIP, 2200, 14, 157.142857, 
trial0003171, GDX, 2107, 14, 150.500000, ZIC, 954, 14, 68.142857, ZIP, 2518, 14, 179.857143, 
trial0003172, GDX, 2730, 14, 195.000000, ZIC, 1236, 14, 88.285714, ZIP, 1345, 14, 96.071429, 
trial0003173, GDX, 2026, 14, 144.714286, ZIC, 878, 14, 62.714286, ZIP, 1920, 14, 137.142857, 
trial0003174, GDX, 1681, 14, 120.071429, ZIC, 1368, 14, 97.714286, ZIP, 2115, 14, 151.071429, 
trial0003175, GDX, 2004, 14, 143.142857, ZIC, 1209, 14, 86.357143, ZIP, 1810, 14, 129.285714, 
trial0003176, GDX, 2590, 14, 185.000000, ZIC, 1432, 14, 102.285714, ZIP, 1183, 14, 84.500000, 
trial0003177, GDX, 2520, 14, 180.000000, ZIC, 1002, 14, 71.571429, ZIP, 1523, 14, 108.785714, 
trial0003178, GDX, 1877, 14, 134.071429, ZIC, 1021, 14, 72.928571, ZIP, 1742, 14, 124.428571, 
trial0003179, GDX, 1271, 14, 90.785714, ZIC, 1307, 14, 93.357143, ZIP, 2906, 14, 207.571429, 
trial0003180, GDX, 2061, 14, 147.214286, ZIC, 1030, 14, 73.571429, ZIP, 1959, 14, 139.928571, 
trial0003181, GDX, 1618, 14, 115.571429, ZIC, 972, 14, 69.428571, ZIP, 1898, 14, 135.571429, 
trial0003182, GDX, 1889, 14, 134.928571, ZIC, 1175, 14, 83.928571, ZIP, 1582, 14, 113.000000, 
trial0003183, GDX, 1643, 14, 117.357143, ZIC, 1169, 14, 83.500000, ZIP, 1911, 14, 136.500000, 
trial0003184, GDX, 1436, 14, 102.571429, ZIC, 1962, 14, 140.142857, ZIP, 1474, 14, 105.285714, 
trial0003185, GDX, 1995, 14, 142.500000, ZIC, 1222, 14, 87.285714, ZIP, 1643, 14, 117.357143, 
trial0003186, GDX, 1838, 14, 131.285714, ZIC, 1211, 14, 86.500000, ZIP, 1550, 14, 110.714286, 
trial0003187, GDX, 1464, 14, 104.571429, ZIC, 1574, 14, 112.428571, ZIP, 1744, 14, 124.571429, 
trial0003188, GDX, 1605, 14, 114.642857, ZIC, 1154, 14, 82.428571, ZIP, 2630, 14, 187.857143, 
trial0003189, GDX, 1515, 14, 108.214286, ZIC, 741, 14, 52.928571, ZIP, 2701, 14, 192.928571, 
trial0003190, GDX, 1818, 14, 129.857143, ZIC, 1407, 14, 100.500000, ZIP, 1524, 14, 108.857143, 
trial0003191, GDX, 2045, 14, 146.071429, ZIC, 1133, 14, 80.928571, ZIP, 1894, 14, 135.285714, 
trial0003192, GDX, 1947, 14, 139.071429, ZIC, 869, 14, 62.071429, ZIP, 2771, 14, 197.928571, 
trial0003193, GDX, 1403, 14, 100.214286, ZIC, 1564, 14, 111.714286, ZIP, 1997, 14, 142.642857, 
trial0003194, GDX, 1220, 14, 87.142857, ZIC, 1284, 14, 91.714286, ZIP, 2859, 14, 204.214286, 
trial0003195, GDX, 1836, 14, 131.142857, ZIC, 1064, 14, 76.000000, ZIP, 2014, 14, 143.857143, 
trial0003196, GDX, 2488, 14, 177.714286, ZIC, 1480, 14, 105.714286, ZIP, 825, 14, 58.928571, 
trial0003197, GDX, 2411, 14, 172.214286, ZIC, 479, 14, 34.214286, ZIP, 2073, 14, 148.071429, 
trial0003198, GDX, 1333, 14, 95.214286, ZIC, 1052, 14, 75.142857, ZIP, 2599, 14, 185.642857, 
trial0003199, GDX, 2399, 14, 171.357143, ZIC, 2011, 14, 143.642857, ZIP, 805, 14, 57.500000, 
trial0003200, GDX, 1925, 14, 137.500000, ZIC, 914, 14, 65.285714, ZIP, 2434, 14, 173.857143, 
trial0003201, GDX, 1572, 14, 112.285714, ZIC, 1318, 14, 94.142857, ZIP, 2578, 14, 184.142857, 
trial0003202, GDX, 1354, 14, 96.714286, ZIC, 1670, 14, 119.285714, ZIP, 1976, 14, 141.142857, 
trial0003203, GDX, 1731, 14, 123.642857, ZIC, 896, 14, 64.000000, ZIP, 3138, 14, 224.142857, 
trial0003204, GDX, 2010, 14, 143.571429, ZIC, 821, 14, 58.642857, ZIP, 3017, 14, 215.500000, 
trial0003205, GDX, 2212, 14, 158.000000, ZIC, 1223, 14, 87.357143, ZIP, 2489, 14, 177.785714, 
trial0003206, GDX, 1948, 14, 139.142857, ZIC, 1279, 14, 91.357143, ZIP, 2029, 14, 144.928571, 
trial0003207, GDX, 2378, 14, 169.857143, ZIC, 1082, 14, 77.285714, ZIP, 1730, 14, 123.571429, 
trial0003208, GDX, 1573, 14, 112.357143, ZIC, 1496, 14, 106.857143, ZIP, 2420, 14, 172.857143, 
trial0003209, GDX, 2779, 14, 198.500000, ZIC, 1087, 14, 77.642857, ZIP, 1601, 14, 114.357143, 
trial0003210, GDX, 1744, 14, 124.571429, ZIC, 1543, 14, 110.214286, ZIP, 2747, 14, 196.214286, 
trial0003211, GDX, 2992, 14, 213.714286, ZIC, 1492, 14, 106.571429, ZIP, 1743, 14, 124.500000, 
trial0003212, GDX, 1517, 14, 108.357143, ZIC, 2106, 14, 150.428571, ZIP, 1866, 14, 133.285714, 
trial0003213, GDX, 1374, 14, 98.142857, ZIC, 1654, 14, 118.142857, ZIP, 2147, 14, 153.357143, 
trial0003214, GDX, 1805, 14, 128.928571, ZIC, 1666, 14, 119.000000, ZIP, 2175, 14, 155.357143, 
trial0003215, GDX, 1562, 14, 111.571429, ZIC, 1560, 14, 111.428571, ZIP, 3112, 14, 222.285714, 
trial0003216, GDX, 1838, 14, 131.285714, ZIC, 1696, 14, 121.142857, ZIP, 1902, 14, 135.857143, 
trial0003217, GDX, 2144, 14, 153.142857, ZIC, 1319, 14, 94.214286, ZIP, 2000, 14, 142.857143, 
trial0003218, GDX, 1703, 14, 121.642857, ZIC, 968, 14, 69.142857, ZIP, 2809, 14, 200.642857, 
trial0003219, GDX, 2622, 14, 187.285714, ZIC, 745, 14, 53.214286, ZIP, 1887, 14, 134.785714, 
trial0003220, GDX, 2358, 14, 168.428571, ZIC, 1818, 14, 129.857143, ZIP, 1728, 14, 123.428571, 
trial0003221, GDX, 1944, 14, 138.857143, ZIC, 1457, 14, 104.071429, ZIP, 1544, 14, 110.285714, 
trial0003222, GDX, 1818, 14, 129.857143, ZIC, 1139, 14, 81.357143, ZIP, 2717, 14, 194.071429, 
trial0003223, GDX, 1249, 14, 89.214286, ZIC, 1731, 14, 123.642857, ZIP, 1516, 14, 108.285714, 
trial0003224, GDX, 1943, 14, 138.785714, ZIC, 989, 14, 70.642857, ZIP, 2479, 14, 177.071429, 
trial0003225, GDX, 1641, 14, 117.214286, ZIC, 1228, 14, 87.714286, ZIP, 2870, 14, 205.000000, 
trial0003226, GDX, 1693, 14, 120.928571, ZIC, 1642, 14, 117.285714, ZIP, 2758, 14, 197.000000, 
trial0003227, GDX, 1082, 14, 77.285714, ZIC, 844, 14, 60.285714, ZIP, 3739, 14, 267.071429, 
trial0003228, GDX, 2104, 14, 150.285714, ZIC, 1827, 14, 130.500000, ZIP, 1659, 14, 118.500000, 
trial0003229, GDX, 3061, 14, 218.642857, ZIC, 562, 14, 40.142857, ZIP, 2117, 14, 151.214286, 
trial0003230, GDX, 2812, 14, 200.857143, ZIC, 780, 14, 55.714286, ZIP, 2494, 14, 178.142857, 
