trial0004161, GDX, 542, 2, 271.000000, ZIC, 4896, 38, 128.842105, 
trial0004162, GDX, 0, 2, 0.000000, ZIC, 5577, 38, 146.763158, 
trial0004163, GDX, 436, 2, 218.000000, ZIC, 5456, 38, 143.578947, 
trial0004164, GDX, 403, 2, 201.500000, ZIC, 4860, 38, 127.894737, 
trial0004165, GDX, 539, 2, 269.500000, ZIC, 5354, 38, 140.894737, 
trial0004166, GDX, 546, 2, 273.000000, ZIC, 6196, 38, 163.052632, 
trial0004167, GDX, 570, 2, 285.000000, ZIC, 5480, 38, 144.210526, 
trial0004168, GDX, 695, 2, 347.500000, ZIC, 5262, 38, 138.473684, 
trial0004169, GDX, 1232, 2, 616.000000, ZIC, 5420, 38, 142.631579, 
trial0004170, GDX, 523, 2, 261.500000, ZIC, 6077, 38, 159.921053, 
trial0004171, GDX, 1029, 2, 514.500000, ZIC, 5188, 38, 136.526316, 
trial0004172, GDX, 621, 2, 310.500000, ZIC, 5208, 38, 137.052632, 
trial0004173, GDX, 28, 2, 14.000000, ZIC, 6551, 38, 172.394737, 
trial0004174, GDX, 39, 2, 19.500000, ZIC, 6208, 38, 163.368421, 
trial0004175, GDX, 2, 2, 1.000000, ZIC, 5120, 38, 134.736842, 
trial0004176, GDX, 390, 2, 195.000000, ZIC, 5013, 38, 131.921053, 
trial0004177, GDX, 170, 2, 85.000000, ZIC, 5901, 38, 155.289474, 
trial0004178, GDX, 41, 2, 20.500000, ZIC, 5720, 38, 150.526316, 
trial0004179, GDX, 585, 2, 292.500000, ZIC, 5653, 38, 148.763158, 
trial0004180, GDX, 708, 2, 354.000000, ZIC, 6477, 38, 170.447368, 
trial0004181, GDX, 73, 2, 36.500000, ZIC, 6645, 38, 174.868421, 
trial0004182, GDX, 707, 2, 353.500000, ZIC, 5268, 38, 138.631579, 
trial0004183, GDX, 966, 2, 483.000000, ZIC, 5213, 38, 137.184211, 
trial0004184, GDX, 824, 2, 412.000000, ZIC, 5304, 38, 139.578947, 
trial0004185, GDX, 1137, 2, 568.500000, ZIC, 5612, 38, 147.684211, 
trial0004186, GDX, 68, 2, 34.000000, ZIC, 6125, 38, 161.184211, 
trial0004187, GDX, 949, 2, 474.500000, ZIC, 4781, 38, 125.815789, 
