trial0001091, AA, 1782, 14, 127.285714, GDX, 3181, 14, 227.214286, ZIC, 3345, 14, 238.928571, 
trial0001092, AA, 2936, 14, 209.714286, GDX, 2692, 14, 192.285714, ZIC, 2431, 14, 173.642857, 
trial0001093, AA, 4147, 14, 296.214286, GDX, 2126, 14, 151.857143, ZIC, 2131, 14, 152.214286, 
trial0001094, AA, 3540, 14, 252.857143, GDX, 2115, 14, 151.071429, ZIC, 2608, 14, 186.285714, 
trial0001095, AA, 2715, 14, 193.928571, GDX, 3024, 14, 216.000000, ZIC, 2062, 14, 147.285714, 
trial0001096, AA, 2865, 14, 204.642857, GDX, 2070, 14, 147.857143, ZIC, 3469, 14, 247.785714, 
trial0001097, AA, 2350, 14, 167.857143, GDX, 2446, 14, 174.714286, ZIC, 3532, 14, 252.285714, 
trial0001098, AA, 2070, 14, 147.857143, GDX, 2730, 14, 195.000000, ZIC, 3744, 14, 267.428571, 
trial0001099, AA, 3066, 14, 219.000000, GDX, 2118, 14, 151.285714, ZIC, 3359, 14, 239.928571, 
trial0001100, AA, 3773, 14, 269.500000, GDX, 3065, 14, 218.928571, ZIC, 1625, 14, 116.071429, 
trial0001101, AA, 3169, 14, 226.357143, GDX, 2407, 14, 171.928571, ZIC, 2065, 14, 147.500000, 
trial0001102, AA, 3394, 14, 242.428571, GDX, 3751, 14, 267.928571, ZIC, 1308, 14, 93.428571, 
trial0001103, AA, 2497, 14, 178.357143, GDX, 3174, 14, 226.714286, ZIC, 2010, 14, 143.571429, 
trial0001104, AA, 4533, 14, 323.785714, GDX, 1857, 14, 132.642857, ZIC, 1209, 14, 86.357143, 
trial0001105, AA, 2347, 14, 167.642857, GDX, 2626, 14, 187.571429, ZIC, 1910, 14, 136.428571, 
trial0001106, AA, 2819, 14, 201.357143, GDX, 1941, 14, 138.642857, ZIC, 2630, 14, 187.857143, 
trial0001107, AA, 2862, 14, 204.428571, GDX, 2196, 14, 156.857143, ZIC, 3137, 14, 224.071429, 
trial0001108, AA, 1326, 14, 94.714286, GDX, 3659, 14, 261.357143, ZIC, 1964, 14, 140.285714, 
trial0001109, AA, 3243, 14, 231.642857, GDX, 2576, 14, 184.000000, ZIC, 1761, 14, 125.785714, 
trial0001110, AA, 3357, 14, 239.785714, GDX, 2214, 14, 158.142857, ZIC, 1972, 14, 140.857143, 
trial0001111, AA, 2823, 14, 201.642857, GDX, 2222, 14, 158.714286, ZIC, 2189, 14, 156.357143, 
trial0001112, AA, 3628, 14, 259.142857, GDX, 2317, 14, 165.500000, ZIC, 1592, 14, 113.714286, 
trial0001113, AA, 2100, 14, 150.000000, GDX, 2834, 14, 202.428571, ZIC, 2184, 14, 156.000000, 
trial0001114, AA, 3217, 14, 229.785714, GDX, 2507, 14, 179.071429, ZIC, 1978, 14, 141.285714, 
trial0001115, AA, 2727, 14, 194.785714, GDX, 2279, 14, 162.785714, ZIC, 2925, 14, 208.928571, 
trial0001116, AA, 1567, 14, 111.928571, GDX, 2636, 14, 188.285714, ZIC, 3120, 14, 222.857143, 
trial0001117, AA, 3312, 14, 236.571429, GDX, 2541, 14, 181.500000, ZIC, 1937, 14, 138.357143, 
trial0001118, AA, 2606, 14, 186.142857, GDX, 3283, 14, 234.500000, ZIC, 1500, 14, 107.142857, 
trial0001119, AA, 3030, 14, 216.428571, GDX, 1732, 14, 123.714286, ZIC, 2762, 14, 197.285714, 
trial0001120, AA, 5084, 14, 363.142857, GDX, 1724, 14, 123.142857, ZIC, 1247, 14, 89.071429, 
trial0001121, AA, 2917, 14, 208.357143, GDX, 4496, 14, 321.142857, ZIC, 853, 14, 60.928571, 
trial0001122, AA, 3253, 14, 232.357143, GDX, 3492, 14, 249.428571, ZIC, 1557, 14, 111.214286, 
trial0001123, AA, 2836, 14, 202.571429, GDX, 2696, 14, 192.571429, ZIC, 1764, 14, 126.000000, 
trial0001124, AA, 2897, 14, 206.928571, GDX, 2660, 14, 190.000000, ZIC, 1969, 14, 140.642857, 
trial0001125, AA, 2856, 14, 204.000000, GDX, 2283, 14, 163.071429, ZIC, 2971, 14, 212.214286, 
trial0001126, AA, 4079, 14, 291.357143, GDX, 1452, 14, 103.714286, ZIC, 1807, 14, 129.071429, 
trial0001127, AA, 2430, 14, 173.571429, GDX, 1226, 14, 87.571429, ZIC, 2906, 14, 207.571429, 
trial0001128, AA, 1925, 14, 137.500000, GDX, 3536, 14, 252.571429, ZIC, 2605, 14, 186.071429, 
trial0001129, AA, 2978, 14, 212.714286, GDX, 2529, 14, 180.642857, ZIC, 1864, 14, 133.142857, 
trial0001130, AA, 1920, 14, 137.142857, GDX, 3535, 14, 252.500000, ZIC, 1714, 14, 122.428571, 
trial0001131, AA, 3252, 14, 232.285714, GDX, 2784, 14, 198.857143, ZIC, 1620, 14, 115.714286, 
trial0001132, AA, 4467, 14, 319.071429, GDX, 1684, 14, 120.285714, ZIC, 1975, 14, 141.071429, 
