trial0002167, GDX, 1064, 2, 532.000000, ZIP, 10683, 38, 281.131579, 
trial0002168, GDX, 0, 2, 0.000000, ZIP, 9499, 38, 249.973684, 
trial0002169, GDX, 16, 2, 8.000000, ZIP, 7076, 38, 186.210526, 
trial0002170, GDX, 0, 2, 0.000000, ZIP, 11906, 38, 313.315789, 
trial0002171, GDX, 0, 2, 0.000000, ZIP, 10737, 38, 282.552632, 
trial0002172, GDX, 0, 2, 0.000000, ZIP, 10222, 38, 269.000000, 
trial0002173, GDX, 1617, 2, 808.500000, ZIP, 9292, 38, 244.526316, 
trial0002174, GDX, 1347, 2, 673.500000, ZIP, 10096, 38, 265.684211, 
trial0002175, GDX, 99, 2, 49.500000, ZIP, 9465, 38, 249.078947, 
trial0002176, GDX, 1558, 2, 779.000000, ZIP, 9095, 38, 239.342105, 
trial0002177, GDX, 400, 2, 200.000000, ZIP, 9243, 38, 243.236842, 
trial0002178, GDX, 770, 2, 385.000000, ZIP, 8263, 38, 217.447368, 
trial0002179, GDX, 1183, 2, 591.500000, ZIP, 8848, 38, 232.842105, 
trial0002180, GDX, 23, 2, 11.500000, ZIP, 6185, 38, 162.763158, 
trial0002181, GDX, 1271, 2, 635.500000, ZIP, 10641, 38, 280.026316, 
trial0002182, GDX, 289, 2, 144.500000, ZIP, 10649, 38, 280.236842, 
trial0002183, GDX, 658, 2, 329.000000, ZIP, 10740, 38, 282.631579, 
trial0002184, GDX, 396, 2, 198.000000, ZIP, 10138, 38, 266.789474, 
trial0002185, GDX, 793, 2, 396.500000, ZIP, 9131, 38, 240.289474, 
trial0002186, GDX, 260, 2, 130.000000, ZIP, 7751, 38, 203.973684, 
trial0002187, GDX, 254, 2, 127.000000, ZIP, 10390, 38, 273.421053, 
trial0002188, GDX, 0, 2, 0.000000, ZIP, 9249, 38, 243.394737, 
trial0002189, GDX, 1046, 2, 523.000000, ZIP, 9887, 38, 260.184211, 
trial0002190, GDX, 171, 2, 85.500000, ZIP, 8268, 38, 217.578947, 
trial0002191, GDX, 9, 2, 4.500000, ZIP, 8005, 38, 210.657895, 
trial0002192, GDX, 1883, 2, 941.500000, ZIP, 9760, 38, 256.842105, 
trial0002193, GDX, 481, 2, 240.500000, ZIP, 7821, 38, 205.815789, 
trial0002194, GDX, 1065, 2, 532.500000, ZIP, 8280, 38, 217.894737, 
