trial0017568, 000600, AA, 193, 4, 48.250000, GDX, 728, 18, 40.444444, ZIP, 1118, 10, 111.800000, 78, 89, 
trial0017569, 000600, AA, 255, 4, 63.750000, GDX, 753, 18, 41.833333, ZIP, 544, 10, 54.400000, 108, 117, 
trial0017570, 000600, AA, 63, 4, 15.750000, GDX, 1376, 18, 76.444444, ZIP, 712, 10, 71.200000, 79, 102, 
trial0017571, 000600, AA, 6, 4, 1.500000, GDX, 821, 18, 45.611111, ZIP, 1047, 10, 104.700000, 84, 112, 
trial0017572, 000600, AA, 210, 4, 52.500000, GDX, 582, 18, 32.333333, ZIP, 304, 10, 30.400000, 70, 87, 
trial0017573, 000600, AA, 250, 4, 62.500000, GDX, 375, 18, 20.833333, ZIP, 390, 10, 39.000000, 98, 116, 
trial0017574, 000600, AA, 124, 4, 31.000000, GDX, 751, 18, 41.722222, ZIP, 1117, 10, 111.700000, 120, 124, 
trial0017575, 000600, AA, 305, 4, 76.250000, GDX, 754, 18, 41.888889, ZIP, 541, 10, 54.100000, 84, 85, 
trial0017576, 000600, AA, 115, 4, 28.750000, GDX, 764, 18, 42.444444, ZIP, 280, 10, 28.000000, 90, 104, 
trial0017577, 000600, AA, 140, 4, 35.000000, GDX, 552, 18, 30.666667, ZIP, 681, 10, 68.100000, 115, 122, 
trial0017578, 000600, AA, 68, 4, 17.000000, GDX, 403, 18, 22.388889, ZIP, 424, 10, 42.400000, 108, 113, 
trial0017579, 000600, AA, 208, 4, 52.000000, GDX, 288, 18, 16.000000, ZIP, 531, 10, 53.100000, 69, 71, 
trial0017580, 000600, AA, 75, 4, 18.750000, GDX, 427, 18, 23.722222, ZIP, 1128, 10, 112.800000, 109, 116, 
trial0017581, 000600, AA, 336, 4, 84.000000, GDX, 792, 18, 44.000000, ZIP, 1416, 10, 141.600000, 160, 176, 
trial0017582, 000600, AA, 138, 4, 34.500000, GDX, 958, 18, 53.222222, ZIP, 744, 10, 74.400000, 166, 187, 
trial0017583, 000600, AA, 562, 4, 140.500000, GDX, 1251, 18, 69.500000, ZIP, 1273, 10, 127.300000, 124, 133, 
trial0017584, 000600, AA, 281, 4, 70.250000, GDX, 1062, 18, 59.000000, ZIP, 742, 10, 74.200000, 124, 128, 
trial0017585, 000600, AA, 239, 4, 59.750000, GDX, 1126, 18, 62.555556, ZIP, 1475, 10, 147.500000, 145, 160, 
trial0017586, 000600, AA, 695, 4, 173.750000, GDX, 1013, 18, 56.277778, ZIP, 728, 10, 72.800000, 130, 147, 
trial0017587, 000600, AA, 171, 4, 42.750000, GDX, 1279, 18, 71.055556, ZIP, 244, 10, 24.400000, 110, 112, 
trial0017588, 000600, AA, 81, 4, 20.250000, GDX, 1110, 18, 61.666667, ZIP, 1002, 10, 100.200000, 116, 123, 
trial0017589, 000600, AA, 107, 4, 26.750000, GDX, 1736, 18, 96.444444, ZIP, 702, 10, 70.200000, 110, 123, 
trial0017590, 000600, AA, 260, 4, 65.000000, GDX, 1022, 18, 56.777778, ZIP, 1306, 10, 130.600000, 0, N, 
trial0017591, 000600, AA, 82, 4, 20.500000, GDX, 950, 18, 52.777778, ZIP, 465, 10, 46.500000, 116, 122, 
trial0017592, 000600, AA, 382, 4, 95.500000, GDX, 694, 18, 38.555556, ZIP, 240, 10, 24.000000, 126, 146, 
trial0017593, 000600, AA, 604, 4, 151.000000, GDX, 1334, 18, 74.111111, ZIP, 1094, 10, 109.400000, 115, 148, 
trial0017594, 000600, AA, 121, 4, 30.250000, GDX, 1585, 18, 88.055556, ZIP, 663, 10, 66.300000, 134, 151, 
trial0017595, 000600, AA, 182, 4, 45.500000, GDX, 844, 18, 46.888889, ZIP, 689, 10, 68.900000, 108, 114, 
trial0017596, 000600, AA, 123, 4, 30.750000, GDX, 434, 18, 24.111111, ZIP, 616, 10, 61.600000, 120, 133, 
trial0017597, 000600, AA, 10, 4, 2.500000, GDX, 1830, 18, 101.666667, ZIP, 700, 10, 70.000000, 132, 135, 
trial0017598, 000600, AA, 233, 4, 58.250000, GDX, 891, 18, 49.500000, ZIP, 1115, 10, 111.500000, 142, 149, 
trial0017599, 000600, AA, 190, 4, 47.500000, GDX, 996, 18, 55.333333, ZIP, 1244, 10, 124.400000, 142, 143, 
trial0017600, 000600, AA, 291, 4, 72.750000, GDX, 1512, 18, 84.000000, ZIP, 675, 10, 67.500000, 116, 151, 
trial0017601, 000600, AA, 159, 4, 39.750000, GDX, 1353, 18, 75.166667, ZIP, 439, 10, 43.900000, 146, 150, 
trial0017602, 000600, AA, 56, 4, 14.000000, GDX, 490, 18, 27.222222, ZIP, 148, 10, 14.800000, 136, 152, 
trial0017603, 000600, AA, 83, 4, 20.750000, GDX, 475, 18, 26.388889, ZIP, 1096, 10, 109.600000, 159, 160, 
trial0017604, 000600, AA, 247, 4, 61.750000, GDX, 196, 18, 10.888889, ZIP, 561, 10, 56.100000, 161, 168, 
trial0017605, 000600, AA, 463, 4, 115.750000, GDX, 772, 18, 42.888889, ZIP, 158, 10, 15.800000, 0, N, 
trial0017606, 000600, AA, 313, 4, 78.250000, GDX, 675, 18, 37.500000, ZIP, 404, 10, 40.400000, 131, 136, 
trial0017607, 000600, AA, 367, 4, 91.750000, GDX, 578, 18, 32.111111, ZIP, 115, 10, 11.500000, 134, 144, 
trial0017608, 000600, AA, 60, 4, 15.000000, GDX, 444, 18, 24.666667, ZIP, 411, 10, 41.100000, 150, 155, 
trial0017609, 000600, AA, 17, 4, 4.250000, GDX, 565, 18, 31.388889, ZIP, 1008, 10, 100.800000, 144, 151, 
trial0017610, 000600, AA, 284, 4, 71.000000, GDX, 438, 18, 24.333333, ZIP, 1098, 10, 109.800000, 133, 166, 
trial0017611, 000600, AA, 58, 4, 14.500000, GDX, 935, 18, 51.944444, ZIP, 434, 10, 43.400000, 136, 147, 
trial0017612, 000600, AA, 58, 4, 14.500000, GDX, 743, 18, 41.277778, ZIP, 762, 10, 76.200000, 146, 159, 
trial0017613, 000600, AA, 335, 4, 83.750000, GDX, 471, 18, 26.166667, ZIP, 991, 10, 99.100000, 128, 163, 
trial0017614, 000600, AA, 284, 4, 71.000000, GDX, 945, 18, 52.500000, ZIP, 1142, 10, 114.200000, 147, 156, 
trial0017615, 000600, AA, 167, 4, 41.750000, GDX, 626, 18, 34.777778, ZIP, 492, 10, 49.200000, 143, 172, 
trial0017616, 000600, AA, 522, 4, 130.500000, GDX, 527, 18, 29.277778, ZIP, 318, 10, 31.800000, 146, 175, 
trial0017617, 000600, AA, 271, 4, 67.750000, GDX, 796, 18, 44.222222, ZIP, 351, 10, 35.100000, 147, 165, 
trial0017618, 000600, AA, 117, 4, 29.250000, GDX, 862, 18, 47.888889, ZIP, 437, 10, 43.700000, 152, 159, 
trial0017619, 000600, AA, 70, 4, 17.500000, GDX, 1031, 18, 57.277778, ZIP, 259, 10, 25.900000, 134, 135, 
trial0017620, 000600, AA, 7, 4, 1.750000, GDX, 698, 18, 38.777778, ZIP, 532, 10, 53.200000, 151, 168, 
trial0017621, 000600, AA, 180, 4, 45.000000, GDX, 850, 18, 47.222222, ZIP, 1069, 10, 106.900000, 96, 154, 
trial0017622, 000600, AA, 360, 4, 90.000000, GDX, 849, 18, 47.166667, ZIP, 917, 10, 91.700000, 128, 143, 
trial0017623, 000600, AA, 123, 4, 30.750000, GDX, 612, 18, 34.000000, ZIP, 723, 10, 72.300000, 104, 147, 
trial0017624, 000600, AA, 182, 4, 45.500000, GDX, 377, 18, 20.944444, ZIP, 890, 10, 89.000000, 96, 140, 
trial0017625, 000600, AA, 171, 4, 42.750000, GDX, 970, 18, 53.888889, ZIP, 303, 10, 30.300000, 130, 137, 
trial0017626, 000600, AA, 287, 4, 71.750000, GDX, 723, 18, 40.166667, ZIP, 305, 10, 30.500000, 134, 144, 
trial0017627, 000600, AA, 228, 4, 57.000000, GDX, 1396, 18, 77.555556, ZIP, 702, 10, 70.200000, 128, 147, 
trial0017628, 000600, AA, 336, 4, 84.000000, GDX, 1028, 18, 57.111111, ZIP, 328, 10, 32.800000, 110, 124, 
trial0017629, 000600, AA, 56, 4, 14.000000, GDX, 465, 18, 25.833333, ZIP, 494, 10, 49.400000, 140, 148, 
trial0017630, 000600, AA, 138, 4, 34.500000, GDX, 619, 18, 34.388889, ZIP, 1442, 10, 144.200000, 122, 123, 
trial0017631, 000600, AA, 352, 4, 88.000000, GDX, 925, 18, 51.388889, ZIP, 251, 10, 25.100000, 124, 130, 
trial0017632, 000600, AA, 36, 4, 9.000000, GDX, 608, 18, 33.777778, ZIP, 946, 10, 94.600000, 117, 119, 
trial0017633, 000600, AA, 124, 4, 31.000000, GDX, 1211, 18, 67.277778, ZIP, 660, 10, 66.000000, 126, 146, 
trial0017634, 000600, AA, 561, 4, 140.250000, GDX, 767, 18, 42.611111, ZIP, 623, 10, 62.300000, 125, 139, 
trial0017635, 000600, AA, 8, 4, 2.000000, GDX, 923, 18, 51.277778, ZIP, 704, 10, 70.400000, 136, 148, 
trial0017636, 000600, AA, 200, 4, 50.000000, GDX, 1229, 18, 68.277778, ZIP, 699, 10, 69.900000, 147, 171, 
trial0017637, 000600, AA, 309, 4, 77.250000, GDX, 1080, 18, 60.000000, ZIP, 864, 10, 86.400000, 134, 136, 
trial0017638, 000600, AA, 156, 4, 39.000000, GDX, 1256, 18, 69.777778, ZIP, 902, 10, 90.200000, 130, 131, 
trial0017639, 000600, AA, 42, 4, 10.500000, GDX, 555, 18, 30.833333, ZIP, 995, 10, 99.500000, 136, 164, 
trial0017640, 000600, AA, 94, 4, 23.500000, GDX, 592, 18, 32.888889, ZIP, 916, 10, 91.600000, 140, 148, 
trial0017641, 000600, AA, 341, 4, 85.250000, GDX, 1064, 18, 59.111111, ZIP, 1240, 10, 124.000000, 86, 105, 
trial0017642, 000600, AA, 237, 4, 59.250000, GDX, 1659, 18, 92.166667, ZIP, 294, 10, 29.400000, 0, N, 
trial0017643, 000600, AA, 117, 4, 29.250000, GDX, 1052, 18, 58.444444, ZIP, 1126, 10, 112.600000, 72, 104, 
trial0017644, 000600, AA, 281, 4, 70.250000, GDX, 592, 18, 32.888889, ZIP, 1139, 10, 113.900000, 93, 99, 
trial0017645, 000600, AA, 759, 4, 189.750000, GDX, 523, 18, 29.055556, ZIP, 1410, 10, 141.000000, 100, 102, 
trial0017646, 000600, AA, 399, 4, 99.750000, GDX, 1161, 18, 64.500000, ZIP, 1046, 10, 104.600000, 88, 108, 
trial0017647, 000600, AA, 310, 4, 77.500000, GDX, 1434, 18, 79.666667, ZIP, 646, 10, 64.600000, 76, 86, 
trial0017648, 000600, AA, 24, 4, 6.000000, GDX, 831, 18, 46.166667, ZIP, 659, 10, 65.900000, 99, 103, 
trial0017649, 000600, AA, 198, 4, 49.500000, GDX, 559, 18, 31.055556, ZIP, 1356, 10, 135.600000, 76, 104, 
trial0017650, 000600, AA, 153, 4, 38.250000, GDX, 584, 18, 32.444444, ZIP, 1397, 10, 139.700000, 98, 128, 
trial0017651, 000600, AA, 197, 4, 49.250000, GDX, 918, 18, 51.000000, ZIP, 1432, 10, 143.200000, 90, 97, 
trial0017652, 000600, AA, 497, 4, 124.250000, GDX, 617, 18, 34.277778, ZIP, 980, 10, 98.000000, 87, 91, 
trial0017653, 000600, AA, 308, 4, 77.000000, GDX, 988, 18, 54.888889, ZIP, 700, 10, 70.000000, 78, 112, 
trial0017654, 000600, AA, 339, 4, 84.750000, GDX, 1271, 18, 70.611111, ZIP, 927, 10, 92.700000, 68, 106, 
trial0017655, 000600, AA, 252, 4, 63.000000, GDX, 1293, 18, 71.833333, ZIP, 921, 10, 92.100000, 92, 94, 
trial0017656, 000600, AA, 476, 4, 119.000000, GDX, 889, 18, 49.388889, ZIP, 829, 10, 82.900000, 96, 106, 
trial0017657, 000600, AA, 175, 4, 43.750000, GDX, 1205, 18, 66.944444, ZIP, 1006, 10, 100.600000, 91, 97, 
trial0017658, 000600, AA, 126, 4, 31.500000, GDX, 703, 18, 39.055556, ZIP, 1149, 10, 114.900000, 37, 73, 
trial0017659, 000600, AA, 125, 4, 31.250000, GDX, 1470, 18, 81.666667, ZIP, 1108, 10, 110.800000, 95, 114, 
trial0017660, 000600, AA, 632, 4, 158.000000, GDX, 567, 18, 31.500000, ZIP, 785, 10, 78.500000, 74, 79, 
trial0017661, 000600, AA, 27, 4, 6.750000, GDX, 22, 18, 1.222222, ZIP, 184, 10, 18.400000, 121, 123, 
trial0017662, 000600, AA, 3, 4, 0.750000, GDX, 52, 18, 2.888889, ZIP, 522, 10, 52.200000, N, 114, 
trial0017663, 000600, AA, 59, 4, 14.750000, GDX, 302, 18, 16.777778, ZIP, 276, 10, 27.600000, 116, 132, 
