trial0000073, AA, 1976, 14, 141.142857, GDX, 1367, 14, 97.642857, ZIP, 3088, 14, 220.571429, 
trial0000074, AA, 3691, 14, 263.642857, GDX, 800, 14, 57.142857, ZIP, 2587, 14, 184.785714, 
trial0000075, AA, 2190, 14, 156.428571, GDX, 831, 14, 59.357143, ZIP, 4058, 14, 289.857143, 
trial0000076, AA, 1457, 14, 104.071429, GDX, 2630, 14, 187.857143, ZIP, 2444, 14, 174.571429, 
trial0000077, AA, 1422, 14, 101.571429, GDX, 1912, 14, 136.571429, ZIP, 3229, 14, 230.642857, 
trial0000078, AA, 2550, 14, 182.142857, GDX, 1696, 14, 121.142857, ZIP, 2732, 14, 195.142857, 
trial0000079, AA, 3389, 14, 242.071429, GDX, 2037, 14, 145.500000, ZIP, 1422, 14, 101.571429, 
trial0000080, AA, 2246, 14, 160.428571, GDX, 2711, 14, 193.642857, ZIP, 2205, 14, 157.500000, 
trial0000081, AA, 3400, 14, 242.857143, GDX, 1087, 14, 77.642857, ZIP, 2642, 14, 188.714286, 
trial0000082, AA, 2031, 14, 145.071429, GDX, 2024, 14, 144.571429, ZIP, 2986, 14, 213.285714, 
trial0000083, AA, 1953, 14, 139.500000, GDX, 2896, 14, 206.857143, ZIP, 1731, 14, 123.642857, 
trial0000084, AA, 1787, 14, 127.642857, GDX, 1802, 14, 128.714286, ZIP, 3415, 14, 243.928571, 
trial0000085, AA, 3099, 14, 221.357143, GDX, 2085, 14, 148.928571, ZIP, 1532, 14, 109.428571, 
trial0000086, AA, 2744, 14, 196.000000, GDX, 2155, 14, 153.928571, ZIP, 2059, 14, 147.071429, 
trial0000087, AA, 2494, 14, 178.142857, GDX, 2181, 14, 155.785714, ZIP, 2359, 14, 168.500000, 
trial0000088, AA, 2882, 14, 205.857143, GDX, 1416, 14, 101.142857, ZIP, 2802, 14, 200.142857, 
trial0000089, AA, 1843, 14, 131.642857, GDX, 1731, 14, 123.642857, ZIP, 2988, 14, 213.428571, 
trial0000090, AA, 3173, 14, 226.642857, GDX, 1933, 14, 138.071429, ZIP, 1781, 14, 127.214286, 
trial0000091, AA, 2818, 14, 201.285714, GDX, 1718, 14, 122.714286, ZIP, 2345, 14, 167.500000, 
trial0000092, AA, 2476, 14, 176.857143, GDX, 1973, 14, 140.928571, ZIP, 2610, 14, 186.428571, 
trial0000093, AA, 3141, 14, 224.357143, GDX, 2087, 14, 149.071429, ZIP, 1606, 14, 114.714286, 
trial0000094, AA, 2033, 14, 145.214286, GDX, 3492, 14, 249.428571, ZIP, 1508, 14, 107.714286, 
trial0000095, AA, 1917, 14, 136.928571, GDX, 2391, 14, 170.785714, ZIP, 2806, 14, 200.428571, 
trial0000096, AA, 871, 14, 62.214286, GDX, 1665, 14, 118.928571, ZIP, 4135, 14, 295.357143, 
trial0000097, AA, 2967, 14, 211.928571, GDX, 1240, 14, 88.571429, ZIP, 2872, 14, 205.142857, 
trial0000098, AA, 2308, 14, 164.857143, GDX, 2728, 14, 194.857143, ZIP, 2024, 14, 144.571429, 
trial0000099, AA, 2143, 14, 153.071429, GDX, 2325, 14, 166.071429, ZIP, 2787, 14, 199.071429, 
trial0000100, AA, 2032, 14, 145.142857, GDX, 2318, 14, 165.571429, ZIP, 2458, 14, 175.571429, 
trial0000101, AA, 4711, 14, 336.500000, GDX, 2143, 14, 153.071429, ZIP, 3686, 14, 263.285714, 
trial0000102, AA, 3330, 14, 237.857143, GDX, 4645, 14, 331.785714, ZIP, 4032, 14, 288.000000, 
