trial0015176, AA, 3249, 30, 108.300000, GDX, 42, 2, 21.000000, 
trial0015177, AA, 3519, 30, 117.300000, GDX, 58, 2, 29.000000, 
trial0015178, AA, 3889, 30, 129.633333, GDX, 0, 2, 0.000000, 
trial0015179, AA, 3333, 30, 111.100000, GDX, 583, 2, 291.500000, 
trial0015180, AA, 3280, 30, 109.333333, GDX, 542, 2, 271.000000, 
trial0015181, AA, 1368, 30, 45.600000, GDX, 35, 2, 17.500000, 
trial0015182, AA, 1374, 30, 45.800000, GDX, 113, 2, 56.500000, 
trial0015183, AA, 1523, 30, 50.766667, GDX, 0, 2, 0.000000, 
trial0015184, AA, 1453, 30, 48.433333, GDX, 0, 2, 0.000000, 
trial0015185, AA, 1352, 30, 45.066667, GDX, 143, 2, 71.500000, 
trial0015186, AA, 1427, 30, 47.566667, GDX, 140, 2, 70.000000, 
trial0015187, AA, 981, 30, 32.700000, GDX, 215, 2, 107.500000, 
trial0015188, AA, 994, 30, 33.133333, GDX, 213, 2, 106.500000, 
trial0015189, AA, 1306, 30, 43.533333, GDX, 86, 2, 43.000000, 
trial0015190, AA, 1018, 30, 33.933333, GDX, 346, 2, 173.000000, 
trial0015191, AA, 1323, 30, 44.100000, GDX, 129, 2, 64.500000, 
trial0015192, AA, 1518, 30, 50.600000, GDX, 0, 2, 0.000000, 
trial0015193, AA, 879, 30, 29.300000, GDX, 290, 2, 145.000000, 
trial0015194, AA, 1347, 30, 44.900000, GDX, 127, 2, 63.500000, 
trial0015195, AA, 1546, 30, 51.533333, GDX, 152, 2, 76.000000, 
trial0015196, AA, 1340, 30, 44.666667, GDX, 198, 2, 99.000000, 
trial0015197, AA, 1465, 30, 48.833333, GDX, 153, 2, 76.500000, 
trial0015198, AA, 1348, 30, 44.933333, GDX, 30, 2, 15.000000, 
trial0015199, AA, 1007, 30, 33.566667, GDX, 170, 2, 85.000000, 
trial0015200, AA, 1038, 30, 34.600000, GDX, 88, 2, 44.000000, 
trial0015201, AA, 986, 30, 32.866667, GDX, 313, 2, 156.500000, 
trial0015202, AA, 1524, 30, 50.800000, GDX, 330, 2, 165.000000, 
trial0015203, AA, 1187, 30, 39.566667, GDX, 27, 2, 13.500000, 
trial0015204, AA, 1162, 30, 38.733333, GDX, 171, 2, 85.500000, 
trial0015205, AA, 1611, 30, 53.700000, GDX, 42, 2, 21.000000, 
trial0015206, AA, 1276, 30, 42.533333, GDX, 157, 2, 78.500000, 
trial0015207, AA, 1225, 30, 40.833333, GDX, 225, 2, 112.500000, 
trial0015208, AA, 1330, 30, 44.333333, GDX, 175, 2, 87.500000, 
trial0015209, AA, 668, 30, 22.266667, GDX, 233, 2, 116.500000, 
trial0015210, AA, 1104, 30, 36.800000, GDX, 129, 2, 64.500000, 
trial0015211, AA, 2495, 30, 83.166667, GDX, 405, 2, 202.500000, 
trial0015212, AA, 3503, 30, 116.766667, GDX, 19, 2, 9.500000, 
trial0015213, AA, 2127, 30, 70.900000, GDX, 623, 2, 311.500000, 
trial0015214, AA, 2500, 30, 83.333333, GDX, 300, 2, 150.000000, 
trial0015215, AA, 3048, 30, 101.600000, GDX, 239, 2, 119.500000, 
trial0015216, AA, 2376, 30, 79.200000, GDX, 260, 2, 130.000000, 
trial0015217, AA, 3320, 30, 110.666667, GDX, 0, 2, 0.000000, 
trial0015218, AA, 2280, 30, 76.000000, GDX, 256, 2, 128.000000, 
trial0015219, AA, 2859, 30, 95.300000, GDX, 46, 2, 23.000000, 
trial0015220, AA, 3043, 30, 101.433333, GDX, 72, 2, 36.000000, 
trial0015221, AA, 2910, 30, 97.000000, GDX, 48, 2, 24.000000, 
trial0015222, AA, 3026, 30, 100.866667, GDX, 10, 2, 5.000000, 
trial0015223, AA, 2820, 30, 94.000000, GDX, 21, 2, 10.500000, 
