trial0045147, AA, 60, 2, 30.000000, ZIP, 183, 30, 6.100000, 
trial0045148, AA, 13, 2, 6.500000, ZIP, 246, 30, 8.200000, 
trial0045149, AA, 13, 2, 6.500000, ZIP, 257, 30, 8.566667, 
trial0045150, AA, 46, 2, 23.000000, ZIP, 180, 30, 6.000000, 
trial0045151, AA, 6, 2, 3.000000, ZIP, 324, 30, 10.800000, 
trial0045152, AA, 30, 2, 15.000000, ZIP, 312, 30, 10.400000, 
trial0045153, AA, 20, 2, 10.000000, ZIP, 328, 30, 10.933333, 
trial0045154, AA, 43, 2, 21.500000, ZIP, 317, 30, 10.566667, 
trial0045155, AA, 0, 2, 0.000000, ZIP, 306, 30, 10.200000, 
trial0045156, AA, 52, 2, 26.000000, ZIP, 254, 30, 8.466667, 
trial0045157, AA, 16, 2, 8.000000, ZIP, 338, 30, 11.266667, 
trial0045158, AA, 4, 2, 2.000000, ZIP, 326, 30, 10.866667, 
trial0045159, AA, 2, 2, 1.000000, ZIP, 340, 30, 11.333333, 
trial0045160, AA, 11, 2, 5.500000, ZIP, 343, 30, 11.433333, 
trial0045161, AA, 24, 2, 12.000000, ZIP, 342, 30, 11.400000, 
trial0045162, AA, 58, 2, 29.000000, ZIP, 290, 30, 9.666667, 
trial0045163, AA, 35, 2, 17.500000, ZIP, 307, 30, 10.233333, 
trial0045164, AA, 44, 2, 22.000000, ZIP, 286, 30, 9.533333, 
trial0045165, AA, 0, 2, 0.000000, ZIP, 354, 30, 11.800000, 
trial0045166, AA, 15, 2, 7.500000, ZIP, 357, 30, 11.900000, 
trial0045167, AA, 0, 2, 0.000000, ZIP, 354, 30, 11.800000, 
trial0045168, AA, 28, 2, 14.000000, ZIP, 350, 30, 11.666667, 
trial0045169, AA, 67, 2, 33.500000, ZIP, 269, 30, 8.966667, 
trial0045170, AA, 32, 2, 16.000000, ZIP, 346, 30, 11.533333, 
trial0045171, AA, 84, 2, 42.000000, ZIP, 246, 30, 8.200000, 
trial0045172, AA, 24, 2, 12.000000, ZIP, 324, 30, 10.800000, 
trial0045173, AA, 12, 2, 6.000000, ZIP, 336, 30, 11.200000, 
trial0045174, AA, 19, 2, 9.500000, ZIP, 329, 30, 10.966667, 
trial0045175, AA, 24, 2, 12.000000, ZIP, 324, 30, 10.800000, 
trial0045176, AA, 14, 2, 7.000000, ZIP, 352, 30, 11.733333, 
trial0045177, AA, 35, 2, 17.500000, ZIP, 331, 30, 11.033333, 
trial0045178, AA, 28, 2, 14.000000, ZIP, 320, 30, 10.666667, 
trial0045179, AA, 0, 2, 0.000000, ZIP, 336, 30, 11.200000, 
trial0045180, AA, 73, 2, 36.500000, ZIP, 275, 30, 9.166667, 
trial0045181, AA, 0, 2, 0.000000, ZIP, 0, 30, 0.000000, 
trial0045182, AA, 0, 2, 0.000000, ZIP, 97, 30, 3.233333, 
trial0045183, AA, 0, 2, 0.000000, ZIP, 0, 30, 0.000000, 
trial0045184, AA, 14, 2, 7.000000, ZIP, 28, 30, 0.933333, 
trial0045185, AA, 10, 2, 5.000000, ZIP, 88, 30, 2.933333, 
trial0045186, AA, 0, 2, 0.000000, ZIP, 0, 30, 0.000000, 
trial0045187, AA, 22, 2, 11.000000, ZIP, 102, 30, 3.400000, 
trial0045188, AA, 0, 2, 0.000000, ZIP, 32, 30, 1.066667, 
trial0045189, AA, 0, 2, 0.000000, ZIP, 46, 30, 1.533333, 
trial0045190, AA, 16, 2, 8.000000, ZIP, 92, 30, 3.066667, 
trial0045191, AA, 8, 2, 4.000000, ZIP, 116, 30, 3.866667, 
trial0045192, AA, 27, 2, 13.500000, ZIP, 93, 30, 3.100000, 
trial0045193, AA, 3, 2, 1.500000, ZIP, 89, 30, 2.966667, 
trial0045194, AA, 0, 2, 0.000000, ZIP, 72, 30, 2.400000, 
trial0045195, AA, 0, 2, 0.000000, ZIP, 72, 30, 2.400000, 
trial0045196, AA, 16, 2, 8.000000, ZIP, 10, 30, 0.333333, 
