trial0035177, AA, 149, 8, 18.625000, GDX, 281, 10, 28.100000, ZIC, 411, 14, 29.357143, 
trial0035178, AA, 165, 8, 20.625000, GDX, 277, 10, 27.700000, ZIC, 362, 14, 25.857143, 
trial0035179, AA, 421, 8, 52.625000, GDX, 259, 10, 25.900000, ZIC, 182, 14, 13.000000, 
trial0035180, AA, 243, 8, 30.375000, GDX, 136, 10, 13.600000, ZIC, 314, 14, 22.428571, 
trial0035181, AA, 183, 8, 22.875000, GDX, 194, 10, 19.400000, ZIC, 452, 14, 32.285714, 
trial0035182, AA, 80, 8, 10.000000, GDX, 376, 10, 37.600000, ZIC, 162, 14, 11.571429, 
trial0035183, AA, 122, 8, 15.250000, GDX, 192, 10, 19.200000, ZIC, 366, 14, 26.142857, 
trial0035184, AA, 75, 8, 9.375000, GDX, 350, 10, 35.000000, ZIC, 256, 14, 18.285714, 
trial0035185, AA, 49, 8, 6.125000, GDX, 290, 10, 29.000000, ZIC, 231, 14, 16.500000, 
trial0035186, AA, 226, 8, 28.250000, GDX, 383, 10, 38.300000, ZIC, 176, 14, 12.571429, 
trial0035187, AA, 294, 8, 36.750000, GDX, 231, 10, 23.100000, ZIC, 172, 14, 12.285714, 
trial0035188, AA, 263, 8, 32.875000, GDX, 337, 10, 33.700000, ZIC, 124, 14, 8.857143, 
trial0035189, AA, 408, 8, 51.000000, GDX, 235, 10, 23.500000, ZIC, 190, 14, 13.571429, 
trial0035190, AA, 126, 8, 15.750000, GDX, 209, 10, 20.900000, ZIC, 247, 14, 17.642857, 
trial0035191, AA, 179, 8, 22.375000, GDX, 433, 10, 43.300000, ZIC, 416, 14, 29.714286, 
trial0035192, AA, 169, 8, 21.125000, GDX, 461, 10, 46.100000, ZIC, 882, 14, 63.000000, 
trial0035193, AA, 265, 8, 33.125000, GDX, 201, 10, 20.100000, ZIC, 471, 14, 33.642857, 
trial0035194, AA, 551, 8, 68.875000, GDX, 246, 10, 24.600000, ZIC, 271, 14, 19.357143, 
trial0035195, AA, 252, 8, 31.500000, GDX, 735, 10, 73.500000, ZIC, 554, 14, 39.571429, 
trial0035196, AA, 396, 8, 49.500000, GDX, 233, 10, 23.300000, ZIC, 506, 14, 36.142857, 
trial0035197, AA, 271, 8, 33.875000, GDX, 477, 10, 47.700000, ZIC, 460, 14, 32.857143, 
trial0035198, AA, 151, 8, 18.875000, GDX, 0, 10, 0.000000, ZIC, 420, 14, 30.000000, 
trial0035199, AA, 255, 8, 31.875000, GDX, 311, 10, 31.100000, ZIC, 471, 14, 33.642857, 
trial0035200, AA, 251, 8, 31.375000, GDX, 612, 10, 61.200000, ZIC, 738, 14, 52.714286, 
trial0035201, AA, 387, 8, 48.375000, GDX, 550, 10, 55.000000, ZIC, 360, 14, 25.714286, 
trial0035202, AA, 211, 8, 26.375000, GDX, 255, 10, 25.500000, ZIC, 485, 14, 34.642857, 
trial0035203, AA, 988, 8, 123.500000, GDX, 302, 10, 30.200000, ZIC, 340, 14, 24.285714, 
trial0035204, AA, 405, 8, 50.625000, GDX, 342, 10, 34.200000, ZIC, 621, 14, 44.357143, 
trial0035205, AA, 360, 8, 45.000000, GDX, 114, 10, 11.400000, ZIC, 571, 14, 40.785714, 
trial0035206, AA, 416, 8, 52.000000, GDX, 507, 10, 50.700000, ZIC, 401, 14, 28.642857, 
trial0035207, AA, 400, 8, 50.000000, GDX, 363, 10, 36.300000, ZIC, 553, 14, 39.500000, 
trial0035208, AA, 483, 8, 60.375000, GDX, 284, 10, 28.400000, ZIC, 293, 14, 20.928571, 
trial0035209, AA, 204, 8, 25.500000, GDX, 347, 10, 34.700000, ZIC, 597, 14, 42.642857, 
trial0035210, AA, 488, 8, 61.000000, GDX, 435, 10, 43.500000, ZIC, 540, 14, 38.571429, 
trial0035211, AA, 50, 8, 6.250000, GDX, 232, 10, 23.200000, ZIC, 884, 14, 63.142857, 
trial0035212, AA, 297, 8, 37.125000, GDX, 482, 10, 48.200000, ZIC, 448, 14, 32.000000, 
trial0035213, AA, 176, 8, 22.000000, GDX, 322, 10, 32.200000, ZIC, 592, 14, 42.285714, 
trial0035214, AA, 544, 8, 68.000000, GDX, 330, 10, 33.000000, ZIC, 468, 14, 33.428571, 
