trial0032562, GDX, 118, 4, 29.500000, ZIC, 353, 12, 29.416667, ZIP, 316, 16, 19.750000, 
trial0032563, GDX, 61, 4, 15.250000, ZIC, 205, 12, 17.083333, ZIP, 281, 16, 17.562500, 
trial0032564, GDX, 17, 4, 4.250000, ZIC, 299, 12, 24.916667, ZIP, 555, 16, 34.687500, 
trial0032565, GDX, 79, 4, 19.750000, ZIC, 187, 12, 15.583333, ZIP, 389, 16, 24.312500, 
trial0032566, GDX, 186, 4, 46.500000, ZIC, 366, 12, 30.500000, ZIP, 346, 16, 21.625000, 
trial0032567, GDX, 108, 4, 27.000000, ZIC, 231, 12, 19.250000, ZIP, 385, 16, 24.062500, 
trial0032568, GDX, 213, 4, 53.250000, ZIC, 236, 12, 19.666667, ZIP, 384, 16, 24.000000, 
trial0032569, GDX, 26, 4, 6.500000, ZIC, 174, 12, 14.500000, ZIP, 326, 16, 20.375000, 
trial0032570, GDX, 26, 4, 6.500000, ZIC, 353, 12, 29.416667, ZIP, 291, 16, 18.187500, 
trial0032571, GDX, 122, 4, 30.500000, ZIC, 332, 12, 27.666667, ZIP, 373, 16, 23.312500, 
trial0032572, GDX, 77, 4, 19.250000, ZIC, 331, 12, 27.583333, ZIP, 401, 16, 25.062500, 
trial0032573, GDX, 91, 4, 22.750000, ZIC, 70, 12, 5.833333, ZIP, 484, 16, 30.250000, 
trial0032574, GDX, 72, 4, 18.000000, ZIC, 175, 12, 14.583333, ZIP, 266, 16, 16.625000, 
trial0032575, GDX, 34, 4, 8.500000, ZIC, 264, 12, 22.000000, ZIP, 313, 16, 19.562500, 
trial0032576, GDX, 56, 4, 14.000000, ZIC, 261, 12, 21.750000, ZIP, 320, 16, 20.000000, 
trial0032577, GDX, 88, 4, 22.000000, ZIC, 296, 12, 24.666667, ZIP, 537, 16, 33.562500, 
trial0032578, GDX, 88, 4, 22.000000, ZIC, 258, 12, 21.500000, ZIP, 441, 16, 27.562500, 
trial0032579, GDX, 40, 4, 10.000000, ZIC, 343, 12, 28.583333, ZIP, 549, 16, 34.312500, 
trial0032580, GDX, 35, 4, 8.750000, ZIC, 168, 12, 14.000000, ZIP, 494, 16, 30.875000, 
trial0032581, GDX, 226, 4, 56.500000, ZIC, 443, 12, 36.916667, ZIP, 645, 16, 40.312500, 
trial0032582, GDX, 87, 4, 21.750000, ZIC, 451, 12, 37.583333, ZIP, 632, 16, 39.500000, 
trial0032583, GDX, 147, 4, 36.750000, ZIC, 257, 12, 21.416667, ZIP, 789, 16, 49.312500, 
trial0032584, GDX, 26, 4, 6.500000, ZIC, 293, 12, 24.416667, ZIP, 805, 16, 50.312500, 
trial0032585, GDX, 64, 4, 16.000000, ZIC, 386, 12, 32.166667, ZIP, 1011, 16, 63.187500, 
trial0032586, GDX, 68, 4, 17.000000, ZIC, 614, 12, 51.166667, ZIP, 539, 16, 33.687500, 
trial0032587, GDX, 211, 4, 52.750000, ZIC, 498, 12, 41.500000, ZIP, 632, 16, 39.500000, 
trial0032588, GDX, 390, 4, 97.500000, ZIC, 271, 12, 22.583333, ZIP, 810, 16, 50.625000, 
trial0032589, GDX, 28, 4, 7.000000, ZIC, 549, 12, 45.750000, ZIP, 645, 16, 40.312500, 
trial0032590, GDX, 156, 4, 39.000000, ZIC, 362, 12, 30.166667, ZIP, 821, 16, 51.312500, 
trial0032591, GDX, 254, 4, 63.500000, ZIC, 571, 12, 47.583333, ZIP, 496, 16, 31.000000, 
trial0032592, GDX, 103, 4, 25.750000, ZIC, 353, 12, 29.416667, ZIP, 895, 16, 55.937500, 
trial0032593, GDX, 6, 4, 1.500000, ZIC, 233, 12, 19.416667, ZIP, 779, 16, 48.687500, 
trial0032594, GDX, 251, 4, 62.750000, ZIC, 407, 12, 33.916667, ZIP, 916, 16, 57.250000, 
trial0032595, GDX, 65, 4, 16.250000, ZIC, 306, 12, 25.500000, ZIP, 888, 16, 55.500000, 
trial0032596, GDX, 142, 4, 35.500000, ZIC, 439, 12, 36.583333, ZIP, 649, 16, 40.562500, 
trial0032597, GDX, 54, 4, 13.500000, ZIC, 593, 12, 49.416667, ZIP, 600, 16, 37.500000, 
trial0032598, GDX, 35, 4, 8.750000, ZIC, 544, 12, 45.333333, ZIP, 607, 16, 37.937500, 
trial0032599, GDX, 147, 4, 36.750000, ZIC, 165, 12, 13.750000, ZIP, 743, 16, 46.437500, 
trial0032600, GDX, 87, 4, 21.750000, ZIC, 654, 12, 54.500000, ZIP, 559, 16, 34.937500, 
trial0032601, GDX, 120, 4, 30.000000, ZIC, 540, 12, 45.000000, ZIP, 597, 16, 37.312500, 
trial0032602, GDX, 179, 4, 44.750000, ZIC, 522, 12, 43.500000, ZIP, 978, 16, 61.125000, 
trial0032603, GDX, 24, 4, 6.000000, ZIC, 337, 12, 28.083333, ZIP, 1083, 16, 67.687500, 
trial0032604, GDX, 286, 4, 71.500000, ZIC, 617, 12, 51.416667, ZIP, 332, 16, 20.750000, 
trial0032605, GDX, 162, 4, 40.500000, ZIC, 583, 12, 48.583333, ZIP, 701, 16, 43.812500, 
trial0032606, GDX, 152, 4, 38.000000, ZIC, 436, 12, 36.333333, ZIP, 806, 16, 50.375000, 
trial0032607, GDX, 197, 4, 49.250000, ZIC, 473, 12, 39.416667, ZIP, 759, 16, 47.437500, 
trial0032608, GDX, 190, 4, 47.500000, ZIC, 392, 12, 32.666667, ZIP, 825, 16, 51.562500, 
trial0032609, GDX, 324, 4, 81.000000, ZIC, 361, 12, 30.083333, ZIP, 812, 16, 50.750000, 
trial0032610, GDX, 103, 4, 25.750000, ZIC, 875, 12, 72.916667, ZIP, 557, 16, 34.812500, 
trial0032611, GDX, 0, 4, 0.000000, ZIC, 227, 12, 18.916667, ZIP, 357, 16, 22.312500, 
trial0032612, GDX, 0, 4, 0.000000, ZIC, 227, 12, 18.916667, ZIP, 396, 16, 24.750000, 
trial0032613, GDX, 126, 4, 31.500000, ZIC, 318, 12, 26.500000, ZIP, 423, 16, 26.437500, 
trial0032614, GDX, 47, 4, 11.750000, ZIC, 209, 12, 17.416667, ZIP, 208, 16, 13.000000, 
trial0032615, GDX, 107, 4, 26.750000, ZIC, 155, 12, 12.916667, ZIP, 354, 16, 22.125000, 
trial0032616, GDX, 115, 4, 28.750000, ZIC, 158, 12, 13.166667, ZIP, 247, 16, 15.437500, 
trial0032617, GDX, 91, 4, 22.750000, ZIC, 251, 12, 20.916667, ZIP, 301, 16, 18.812500, 
trial0032618, GDX, 203, 4, 50.750000, ZIC, 64, 12, 5.333333, ZIP, 388, 16, 24.250000, 
trial0032619, GDX, 116, 4, 29.000000, ZIC, 280, 12, 23.333333, ZIP, 329, 16, 20.562500, 
trial0032620, GDX, 121, 4, 30.250000, ZIC, 133, 12, 11.083333, ZIP, 345, 16, 21.562500, 
trial0032621, GDX, 72, 4, 18.000000, ZIC, 117, 12, 9.750000, ZIP, 630, 16, 39.375000, 
trial0032622, GDX, 51, 4, 12.750000, ZIC, 321, 12, 26.750000, ZIP, 145, 16, 9.062500, 
trial0032623, GDX, 121, 4, 30.250000, ZIC, 237, 12, 19.750000, ZIP, 295, 16, 18.437500, 
trial0032624, GDX, 17, 4, 4.250000, ZIC, 152, 12, 12.666667, ZIP, 528, 16, 33.000000, 
trial0032625, GDX, 5, 4, 1.250000, ZIC, 189, 12, 15.750000, ZIP, 550, 16, 34.375000, 
trial0032626, GDX, 2, 4, 0.500000, ZIC, 191, 12, 15.916667, ZIP, 282, 16, 17.625000, 
trial0032627, GDX, 4, 4, 1.000000, ZIC, 332, 12, 27.666667, ZIP, 329, 16, 20.562500, 
trial0032628, GDX, 69, 4, 17.250000, ZIC, 150, 12, 12.500000, ZIP, 340, 16, 21.250000, 
trial0032629, GDX, 122, 4, 30.500000, ZIC, 181, 12, 15.083333, ZIP, 482, 16, 30.125000, 
trial0032630, GDX, 65, 4, 16.250000, ZIC, 156, 12, 13.000000, ZIP, 412, 16, 25.750000, 
trial0032631, GDX, 89, 4, 22.250000, ZIC, 155, 12, 12.916667, ZIP, 381, 16, 23.812500, 
trial0032632, GDX, 29, 4, 7.250000, ZIC, 298, 12, 24.833333, ZIP, 440, 16, 27.500000, 
trial0032633, GDX, 12, 4, 3.000000, ZIC, 290, 12, 24.166667, ZIP, 446, 16, 27.875000, 
trial0032634, GDX, 111, 4, 27.750000, ZIC, 203, 12, 16.916667, ZIP, 273, 16, 17.062500, 
trial0032635, GDX, 26, 4, 6.500000, ZIC, 360, 12, 30.000000, ZIP, 342, 16, 21.375000, 
trial0032636, GDX, 66, 4, 16.500000, ZIC, 101, 12, 8.416667, ZIP, 443, 16, 27.687500, 
trial0032637, GDX, 89, 4, 22.250000, ZIC, 88, 12, 7.333333, ZIP, 442, 16, 27.625000, 
