trial0033676, AA, 1413, 22, 64.227273, GDX, 272, 2, 136.000000, ZIP, 589, 8, 73.625000, 
trial0033677, AA, 1717, 22, 78.045455, GDX, 0, 2, 0.000000, ZIP, 668, 8, 83.500000, 
trial0033678, AA, 1526, 22, 69.363636, GDX, 46, 2, 23.000000, ZIP, 723, 8, 90.375000, 
trial0033679, AA, 1849, 22, 84.045455, GDX, 0, 2, 0.000000, ZIP, 451, 8, 56.375000, 
trial0033680, AA, 1396, 22, 63.454545, GDX, 173, 2, 86.500000, ZIP, 640, 8, 80.000000, 
trial0033681, AA, 1719, 22, 78.136364, GDX, 21, 2, 10.500000, ZIP, 605, 8, 75.625000, 
trial0033682, AA, 1741, 22, 79.136364, GDX, 103, 2, 51.500000, ZIP, 478, 8, 59.750000, 
trial0033683, AA, 1425, 22, 64.772727, GDX, 221, 2, 110.500000, ZIP, 451, 8, 56.375000, 
trial0033684, AA, 1757, 22, 79.863636, GDX, 0, 2, 0.000000, ZIP, 591, 8, 73.875000, 
trial0033685, AA, 1452, 22, 66.000000, GDX, 197, 2, 98.500000, ZIP, 436, 8, 54.500000, 
trial0033686, AA, 1730, 22, 78.636364, GDX, 144, 2, 72.000000, ZIP, 324, 8, 40.500000, 
trial0033687, AA, 2204, 22, 100.181818, GDX, 0, 2, 0.000000, ZIP, 195, 8, 24.375000, 
trial0033688, AA, 1803, 22, 81.954545, GDX, 64, 2, 32.000000, ZIP, 151, 8, 18.875000, 
trial0033689, AA, 1350, 22, 61.363636, GDX, 224, 2, 112.000000, ZIP, 737, 8, 92.125000, 
trial0033690, AA, 1568, 22, 71.272727, GDX, 9, 2, 4.500000, ZIP, 678, 8, 84.750000, 
trial0033691, AA, 138, 22, 6.272727, GDX, 23, 2, 11.500000, ZIP, 93, 8, 11.625000, 
trial0033692, AA, 326, 22, 14.818182, GDX, 3, 2, 1.500000, ZIP, 57, 8, 7.125000, 
trial0033693, AA, 270, 22, 12.272727, GDX, 13, 2, 6.500000, ZIP, 90, 8, 11.250000, 
trial0033694, AA, 252, 22, 11.454545, GDX, 12, 2, 6.000000, ZIP, 19, 8, 2.375000, 
trial0033695, AA, 275, 22, 12.500000, GDX, 6, 2, 3.000000, ZIP, 104, 8, 13.000000, 
trial0033696, AA, 224, 22, 10.181818, GDX, 65, 2, 32.500000, ZIP, 60, 8, 7.500000, 
trial0033697, AA, 217, 22, 9.863636, GDX, 21, 2, 10.500000, ZIP, 124, 8, 15.500000, 
trial0033698, AA, 147, 22, 6.681818, GDX, 10, 2, 5.000000, ZIP, 199, 8, 24.875000, 
trial0033699, AA, 235, 22, 10.681818, GDX, 20, 2, 10.000000, ZIP, 154, 8, 19.250000, 
