trial0001103, GDX, 369, 20, 18.450000, ZIC, 723, 20, 36.150000, 
trial0001104, GDX, 505, 20, 25.250000, ZIC, 713, 20, 35.650000, 
trial0001105, GDX, 396, 20, 19.800000, ZIC, 696, 20, 34.800000, 
trial0001106, GDX, 413, 20, 20.650000, ZIC, 593, 20, 29.650000, 
trial0001107, GDX, 730, 20, 36.500000, ZIC, 647, 20, 32.350000, 
trial0001108, GDX, 617, 20, 30.850000, ZIC, 561, 20, 28.050000, 
trial0001109, GDX, 401, 20, 20.050000, ZIC, 688, 20, 34.400000, 
trial0001110, GDX, 478, 20, 23.900000, ZIC, 640, 20, 32.000000, 
trial0001111, GDX, 361, 20, 18.050000, ZIC, 723, 20, 36.150000, 
trial0001112, GDX, 718, 20, 35.900000, ZIC, 507, 20, 25.350000, 
trial0001113, GDX, 743, 20, 37.150000, ZIC, 595, 20, 29.750000, 
trial0001114, GDX, 389, 20, 19.450000, ZIC, 552, 20, 27.600000, 
trial0001115, GDX, 732, 20, 36.600000, ZIC, 716, 20, 35.800000, 
trial0001116, GDX, 611, 20, 30.550000, ZIC, 477, 20, 23.850000, 
trial0001117, GDX, 483, 20, 24.150000, ZIC, 748, 20, 37.400000, 
trial0001118, GDX, 565, 20, 28.250000, ZIC, 658, 20, 32.900000, 
trial0001119, GDX, 586, 20, 29.300000, ZIC, 829, 20, 41.450000, 
trial0001120, GDX, 661, 20, 33.050000, ZIC, 836, 20, 41.800000, 
trial0001121, GDX, 388, 20, 19.400000, ZIC, 673, 20, 33.650000, 
trial0001122, GDX, 406, 20, 20.300000, ZIC, 508, 20, 25.400000, 
trial0001123, GDX, 407, 20, 20.350000, ZIC, 648, 20, 32.400000, 
trial0001124, GDX, 936, 20, 46.800000, ZIC, 476, 20, 23.800000, 
trial0001125, GDX, 887, 20, 44.350000, ZIC, 902, 20, 45.100000, 
trial0001126, GDX, 637, 20, 31.850000, ZIC, 610, 20, 30.500000, 
trial0001127, GDX, 686, 20, 34.300000, ZIC, 615, 20, 30.750000, 
trial0001128, GDX, 667, 20, 33.350000, ZIC, 547, 20, 27.350000, 
trial0001129, GDX, 563, 20, 28.150000, ZIC, 442, 20, 22.100000, 
trial0001130, GDX, 618, 20, 30.900000, ZIC, 626, 20, 31.300000, 
trial0001131, GDX, 764, 20, 38.200000, ZIC, 746, 20, 37.300000, 
trial0001132, GDX, 671, 20, 33.550000, ZIC, 657, 20, 32.850000, 
trial0001133, GDX, 452, 20, 22.600000, ZIC, 452, 20, 22.600000, 
trial0001134, GDX, 521, 20, 26.050000, ZIC, 681, 20, 34.050000, 
trial0001135, GDX, 569, 20, 28.450000, ZIC, 564, 20, 28.200000, 
trial0001136, GDX, 536, 20, 26.800000, ZIC, 1192, 20, 59.600000, 
trial0001137, GDX, 1001, 20, 50.050000, ZIC, 665, 20, 33.250000, 
trial0001138, GDX, 1020, 20, 51.000000, ZIC, 407, 20, 20.350000, 
trial0001139, GDX, 747, 20, 37.350000, ZIC, 641, 20, 32.050000, 
trial0001140, GDX, 381, 20, 19.050000, ZIC, 539, 20, 26.950000, 
trial0001141, GDX, 430, 20, 21.500000, ZIC, 434, 20, 21.700000, 
trial0001142, GDX, 484, 20, 24.200000, ZIC, 262, 20, 13.100000, 
trial0001143, GDX, 556, 20, 27.800000, ZIC, 496, 20, 24.800000, 
trial0001144, GDX, 822, 20, 41.100000, ZIC, 354, 20, 17.700000, 
trial0001145, GDX, 426, 20, 21.300000, ZIC, 743, 20, 37.150000, 
trial0001146, GDX, 765, 20, 38.250000, ZIC, 643, 20, 32.150000, 
trial0001147, GDX, 561, 20, 28.050000, ZIC, 650, 20, 32.500000, 
trial0001148, GDX, 777, 20, 38.850000, ZIC, 597, 20, 29.850000, 
trial0001149, GDX, 575, 20, 28.750000, ZIC, 565, 20, 28.250000, 
trial0001150, GDX, 693, 20, 34.650000, ZIC, 594, 20, 29.700000, 
trial0001151, GDX, 568, 20, 28.400000, ZIC, 493, 20, 24.650000, 
trial0001152, GDX, 669, 20, 33.450000, ZIC, 486, 20, 24.300000, 
trial0001153, GDX, 460, 20, 23.000000, ZIC, 592, 20, 29.600000, 
trial0001154, GDX, 558, 20, 27.900000, ZIC, 416, 20, 20.800000, 
