trial0000178, AA, 14094, 38, 370.894737, ZIC, 689, 2, 344.500000, 
trial0000179, AA, 13877, 38, 365.184211, ZIC, 925, 2, 462.500000, 
trial0000180, AA, 14960, 38, 393.684211, ZIC, 0, 2, 0.000000, 
trial0000181, AA, 15042, 38, 395.842105, ZIC, 0, 2, 0.000000, 
trial0000182, AA, 14063, 38, 370.078947, ZIC, 986, 2, 493.000000, 
trial0000183, AA, 15026, 38, 395.421053, ZIC, 26, 2, 13.000000, 
trial0000184, AA, 14581, 38, 383.710526, ZIC, 284, 2, 142.000000, 
trial0000185, AA, 13878, 38, 365.210526, ZIC, 1209, 2, 604.500000, 
trial0000186, AA, 14364, 38, 378.000000, ZIC, 309, 2, 154.500000, 
trial0000187, AA, 13564, 38, 356.947368, ZIC, 1016, 2, 508.000000, 
trial0000188, AA, 12223, 38, 321.657895, ZIC, 1759, 2, 879.500000, 
trial0000189, AA, 12837, 38, 337.815789, ZIC, 1599, 2, 799.500000, 
trial0000190, AA, 14296, 38, 376.210526, ZIC, 785, 2, 392.500000, 
trial0000191, AA, 14138, 38, 372.052632, ZIC, 881, 2, 440.500000, 
trial0000192, AA, 14366, 38, 378.052632, ZIC, 528, 2, 264.000000, 
trial0000193, AA, 14813, 38, 389.815789, ZIC, 81, 2, 40.500000, 
trial0000194, AA, 13968, 38, 367.578947, ZIC, 1066, 2, 533.000000, 
trial0000195, AA, 14663, 38, 385.868421, ZIC, 6, 2, 3.000000, 
trial0000196, AA, 14408, 38, 379.157895, ZIC, 891, 2, 445.500000, 
trial0000197, AA, 14266, 38, 375.421053, ZIC, 89, 2, 44.500000, 
trial0000198, AA, 14960, 38, 393.684211, ZIC, 78, 2, 39.000000, 
trial0000199, AA, 14489, 38, 381.289474, ZIC, 94, 2, 47.000000, 
trial0000200, AA, 13960, 38, 367.368421, ZIC, 396, 2, 198.000000, 
trial0000201, AA, 6971, 38, 183.447368, ZIC, 8, 2, 4.000000, 
trial0000202, AA, 6474, 38, 170.368421, ZIC, 509, 2, 254.500000, 
trial0000203, AA, 6735, 38, 177.236842, ZIC, 71, 2, 35.500000, 
trial0000204, AA, 7086, 38, 186.473684, ZIC, 0, 2, 0.000000, 
trial0000205, AA, 6954, 38, 183.000000, ZIC, 5, 2, 2.500000, 
trial0000206, AA, 7014, 38, 184.578947, ZIC, 0, 2, 0.000000, 
trial0000207, AA, 6992, 38, 184.000000, ZIC, 0, 2, 0.000000, 
trial0000208, AA, 7101, 38, 186.868421, ZIC, 0, 2, 0.000000, 
trial0000209, AA, 6750, 38, 177.631579, ZIC, 164, 2, 82.000000, 
trial0000210, AA, 6894, 38, 181.421053, ZIC, 227, 2, 113.500000, 
trial0000211, AA, 6543, 38, 172.184211, ZIC, 543, 2, 271.500000, 
trial0000212, AA, 6522, 38, 171.631579, ZIC, 281, 2, 140.500000, 
trial0000213, AA, 6666, 38, 175.421053, ZIC, 105, 2, 52.500000, 
trial0000214, AA, 6998, 38, 184.157895, ZIC, 0, 2, 0.000000, 
trial0000215, AA, 6494, 38, 170.894737, ZIC, 202, 2, 101.000000, 
trial0000216, AA, 6452, 38, 169.789474, ZIC, 186, 2, 93.000000, 
trial0000217, AA, 7105, 38, 186.973684, ZIC, 3, 2, 1.500000, 
