trial0001126, AA, 4769, 20, 238.450000, ZIP, 3789, 20, 189.450000, 
trial0001127, AA, 5061, 20, 253.050000, ZIP, 3576, 20, 178.800000, 
trial0001128, AA, 4120, 20, 206.000000, ZIP, 4447, 20, 222.350000, 
trial0001129, AA, 3829, 20, 191.450000, ZIP, 4896, 20, 244.800000, 
trial0001130, AA, 5127, 20, 256.350000, ZIP, 3963, 20, 198.150000, 
trial0001131, AA, 2483, 20, 124.150000, ZIP, 5788, 20, 289.400000, 
trial0001132, AA, 4236, 20, 211.800000, ZIP, 4792, 20, 239.600000, 
trial0001133, AA, 5696, 20, 284.800000, ZIP, 3117, 20, 155.850000, 
trial0001134, AA, 3622, 20, 181.100000, ZIP, 5402, 20, 270.100000, 
trial0001135, AA, 4517, 20, 225.850000, ZIP, 4343, 20, 217.150000, 
trial0001136, AA, 3976, 20, 198.800000, ZIP, 4684, 20, 234.200000, 
trial0001137, AA, 4690, 20, 234.500000, ZIP, 4378, 20, 218.900000, 
trial0001138, AA, 4883, 20, 244.150000, ZIP, 4225, 20, 211.250000, 
trial0001139, AA, 6118, 20, 305.900000, ZIP, 2859, 20, 142.950000, 
trial0001140, AA, 4592, 20, 229.600000, ZIP, 4469, 20, 223.450000, 
trial0001141, AA, 2859, 20, 142.950000, ZIP, 6065, 20, 303.250000, 
trial0001142, AA, 4259, 20, 212.950000, ZIP, 4577, 20, 228.850000, 
trial0001143, AA, 4148, 20, 207.400000, ZIP, 4289, 20, 214.450000, 
trial0001144, AA, 5841, 20, 292.050000, ZIP, 2767, 20, 138.350000, 
trial0001145, AA, 3706, 20, 185.300000, ZIP, 5233, 20, 261.650000, 
trial0001146, AA, 4906, 20, 245.300000, ZIP, 3970, 20, 198.500000, 
trial0001147, AA, 4781, 20, 239.050000, ZIP, 4243, 20, 212.150000, 
trial0001148, AA, 3388, 20, 169.400000, ZIP, 5218, 20, 260.900000, 
trial0001149, AA, 4713, 20, 235.650000, ZIP, 4126, 20, 206.300000, 
trial0001150, AA, 3219, 20, 160.950000, ZIP, 5746, 20, 287.300000, 
trial0001151, AA, 4443, 20, 222.150000, ZIP, 4559, 20, 227.950000, 
trial0001152, AA, 4283, 20, 214.150000, ZIP, 4833, 20, 241.650000, 
trial0001153, AA, 3787, 20, 189.350000, ZIP, 5382, 20, 269.100000, 
trial0001154, AA, 4812, 20, 240.600000, ZIP, 4179, 20, 208.950000, 
trial0001155, AA, 3160, 20, 158.000000, ZIP, 5883, 20, 294.150000, 
trial0001156, AA, 4986, 20, 249.300000, ZIP, 3863, 20, 193.150000, 
trial0001157, AA, 5140, 20, 257.000000, ZIP, 3586, 20, 179.300000, 
trial0001158, AA, 4835, 20, 241.750000, ZIP, 4171, 20, 208.550000, 
trial0001159, AA, 5481, 20, 274.050000, ZIP, 3517, 20, 175.850000, 
trial0001160, AA, 4377, 20, 218.850000, ZIP, 4290, 20, 214.500000, 
trial0001161, AA, 5276, 20, 263.800000, ZIP, 3776, 20, 188.800000, 
trial0001162, AA, 4966, 20, 248.300000, ZIP, 4144, 20, 207.200000, 
trial0001163, AA, 4344, 20, 217.200000, ZIP, 4526, 20, 226.300000, 
trial0001164, AA, 4285, 20, 214.250000, ZIP, 4690, 20, 234.500000, 
trial0001165, AA, 4351, 20, 217.550000, ZIP, 4754, 20, 237.700000, 
trial0001166, AA, 4805, 20, 240.250000, ZIP, 4067, 20, 203.350000, 
trial0001167, AA, 4018, 20, 200.900000, ZIP, 4750, 20, 237.500000, 
trial0001168, AA, 4827, 20, 241.350000, ZIP, 4208, 20, 210.400000, 
trial0001169, AA, 4153, 20, 207.650000, ZIP, 4929, 20, 246.450000, 
trial0001170, AA, 4462, 20, 223.100000, ZIP, 4445, 20, 222.250000, 
trial0001171, AA, 5180, 20, 259.000000, ZIP, 3495, 20, 174.750000, 
trial0001172, AA, 3577, 20, 178.850000, ZIP, 5208, 20, 260.400000, 
trial0001173, AA, 3788, 20, 189.400000, ZIP, 5151, 20, 257.550000, 
trial0001174, AA, 4411, 20, 220.550000, ZIP, 4515, 20, 225.750000, 
trial0001175, AA, 4557, 20, 227.850000, ZIP, 4558, 20, 227.900000, 
trial0001176, AA, 4172, 20, 208.600000, ZIP, 4548, 20, 227.400000, 
trial0001177, AA, 4616, 20, 230.800000, ZIP, 3932, 20, 196.600000, 
trial0001178, AA, 3818, 20, 190.900000, ZIP, 5031, 20, 251.550000, 
trial0001179, AA, 3657, 20, 182.850000, ZIP, 5128, 20, 256.400000, 
trial0001180, AA, 4798, 20, 239.900000, ZIP, 4324, 20, 216.200000, 
trial0001181, AA, 3751, 20, 187.550000, ZIP, 5171, 20, 258.550000, 
trial0001182, AA, 5481, 20, 274.050000, ZIP, 3455, 20, 172.750000, 
trial0001183, AA, 4605, 20, 230.250000, ZIP, 3971, 20, 198.550000, 
trial0001184, AA, 4997, 20, 249.850000, ZIP, 3865, 20, 193.250000, 
trial0001185, AA, 4252, 20, 212.600000, ZIP, 4785, 20, 239.250000, 
trial0001186, AA, 4290, 20, 214.500000, ZIP, 4417, 20, 220.850000, 
trial0001187, AA, 4256, 20, 212.800000, ZIP, 4682, 20, 234.100000, 
trial0001188, AA, 4820, 20, 241.000000, ZIP, 4038, 20, 201.900000, 
trial0001189, AA, 4873, 20, 243.650000, ZIP, 3929, 20, 196.450000, 
trial0001190, AA, 4886, 20, 244.300000, ZIP, 4053, 20, 202.650000, 
trial0001191, AA, 2910, 20, 145.500000, ZIP, 5855, 20, 292.750000, 
trial0001192, AA, 5191, 20, 259.550000, ZIP, 3620, 20, 181.000000, 
