trial0002146, ZIC, 11085, 38, 291.710526, ZIP, 809, 2, 404.500000, 
trial0002147, ZIC, 12515, 38, 329.342105, ZIP, 313, 2, 156.500000, 
trial0002148, ZIC, 11958, 38, 314.684211, ZIP, 29, 2, 14.500000, 
trial0002149, ZIC, 11551, 38, 303.973684, ZIP, 876, 2, 438.000000, 
trial0002150, ZIC, 11929, 38, 313.921053, ZIP, 956, 2, 478.000000, 
trial0002151, ZIC, 11742, 38, 309.000000, ZIP, 6, 2, 3.000000, 
trial0002152, ZIC, 9493, 38, 249.815789, ZIP, 1959, 2, 979.500000, 
trial0002153, ZIC, 12107, 38, 318.605263, ZIP, 119, 2, 59.500000, 
trial0002154, ZIC, 10952, 38, 288.210526, ZIP, 1862, 2, 931.000000, 
trial0002155, ZIC, 11044, 38, 290.631579, ZIP, 825, 2, 412.500000, 
trial0002156, ZIC, 12050, 38, 317.105263, ZIP, 0, 2, 0.000000, 
trial0002157, ZIC, 10251, 38, 269.763158, ZIP, 1990, 2, 995.000000, 
trial0002158, ZIC, 11278, 38, 296.789474, ZIP, 829, 2, 414.500000, 
trial0002159, ZIC, 12076, 38, 317.789474, ZIP, 132, 2, 66.000000, 
trial0002160, ZIC, 11456, 38, 301.473684, ZIP, 1371, 2, 685.500000, 
trial0002161, ZIC, 10706, 38, 281.736842, ZIP, 2067, 2, 1033.500000, 
trial0002162, ZIC, 10177, 38, 267.815789, ZIP, 1418, 2, 709.000000, 
trial0002163, ZIC, 11503, 38, 302.710526, ZIP, 991, 2, 495.500000, 
trial0002164, ZIC, 12293, 38, 323.500000, ZIP, 60, 2, 30.000000, 
trial0002165, ZIC, 11474, 38, 301.947368, ZIP, 1371, 2, 685.500000, 
trial0002166, ZIC, 11158, 38, 293.631579, ZIP, 1255, 2, 627.500000, 
trial0002167, ZIC, 12096, 38, 318.315789, ZIP, 839, 2, 419.500000, 
trial0002168, ZIC, 11263, 38, 296.394737, ZIP, 1287, 2, 643.500000, 
trial0002169, ZIC, 11445, 38, 301.184211, ZIP, 843, 2, 421.500000, 
trial0002170, ZIC, 11181, 38, 294.236842, ZIP, 1040, 2, 520.000000, 
trial0002171, ZIC, 11950, 38, 314.473684, ZIP, 13, 2, 6.500000, 
trial0002172, ZIC, 12424, 38, 326.947368, ZIP, 350, 2, 175.000000, 
trial0002173, ZIC, 11801, 38, 310.552632, ZIP, 44, 2, 22.000000, 
trial0002174, ZIC, 12392, 38, 326.105263, ZIP, 0, 2, 0.000000, 
trial0002175, ZIC, 11478, 38, 302.052632, ZIP, 921, 2, 460.500000, 
trial0002176, ZIC, 11535, 38, 303.552632, ZIP, 343, 2, 171.500000, 
trial0002177, ZIC, 10687, 38, 281.236842, ZIP, 1649, 2, 824.500000, 
trial0002178, ZIC, 12121, 38, 318.973684, ZIP, 606, 2, 303.000000, 
trial0002179, ZIC, 11717, 38, 308.342105, ZIP, 1155, 2, 577.500000, 
trial0002180, ZIC, 12444, 38, 327.473684, ZIP, 145, 2, 72.500000, 
trial0002181, ZIC, 11862, 38, 312.157895, ZIP, 764, 2, 382.000000, 
trial0002182, ZIC, 10982, 38, 289.000000, ZIP, 1738, 2, 869.000000, 
