trial0002130, GDX, 3917, 20, 195.850000, ZIP, 3280, 20, 164.000000, 
trial0002131, GDX, 4824, 20, 241.200000, ZIP, 3271, 20, 163.550000, 
trial0002132, GDX, 4210, 20, 210.500000, ZIP, 3085, 20, 154.250000, 
trial0002133, GDX, 3150, 20, 157.500000, ZIP, 3567, 20, 178.350000, 
trial0002134, GDX, 2660, 20, 133.000000, ZIP, 3580, 20, 179.000000, 
trial0002135, GDX, 4050, 20, 202.500000, ZIP, 2334, 20, 116.700000, 
trial0002136, GDX, 4649, 20, 232.450000, ZIP, 2882, 20, 144.100000, 
trial0002137, GDX, 3054, 20, 152.700000, ZIP, 4494, 20, 224.700000, 
trial0002138, GDX, 3033, 20, 151.650000, ZIP, 3444, 20, 172.200000, 
trial0002139, GDX, 3442, 20, 172.100000, ZIP, 3974, 20, 198.700000, 
trial0002140, GDX, 3113, 20, 155.650000, ZIP, 3615, 20, 180.750000, 
trial0002141, GDX, 3146, 20, 157.300000, ZIP, 2473, 20, 123.650000, 
trial0002142, GDX, 4004, 20, 200.200000, ZIP, 3203, 20, 160.150000, 
trial0002143, GDX, 3071, 20, 153.550000, ZIP, 3969, 20, 198.450000, 
trial0002144, GDX, 4436, 20, 221.800000, ZIP, 3129, 20, 156.450000, 
trial0002145, GDX, 4856, 20, 242.800000, ZIP, 2008, 20, 100.400000, 
trial0002146, GDX, 1544, 20, 77.200000, ZIP, 4512, 20, 225.600000, 
trial0002147, GDX, 3048, 20, 152.400000, ZIP, 4012, 20, 200.600000, 
trial0002148, GDX, 3871, 20, 193.550000, ZIP, 3350, 20, 167.500000, 
trial0002149, GDX, 3823, 20, 191.150000, ZIP, 3165, 20, 158.250000, 
trial0002150, GDX, 3432, 20, 171.600000, ZIP, 3983, 20, 199.150000, 
trial0002151, GDX, 4115, 20, 205.750000, ZIP, 3746, 20, 187.300000, 
trial0002152, GDX, 2783, 20, 139.150000, ZIP, 4290, 20, 214.500000, 
trial0002153, GDX, 3471, 20, 173.550000, ZIP, 3571, 20, 178.550000, 
trial0002154, GDX, 3331, 20, 166.550000, ZIP, 3944, 20, 197.200000, 
trial0002155, GDX, 2437, 20, 121.850000, ZIP, 3852, 20, 192.600000, 
trial0002156, GDX, 3081, 20, 154.050000, ZIP, 4594, 20, 229.700000, 
trial0002157, GDX, 4068, 20, 203.400000, ZIP, 2917, 20, 145.850000, 
trial0002158, GDX, 2963, 20, 148.150000, ZIP, 4260, 20, 213.000000, 
trial0002159, GDX, 4348, 20, 217.400000, ZIP, 2914, 20, 145.700000, 
trial0002160, GDX, 1616, 20, 80.800000, ZIP, 4837, 20, 241.850000, 
trial0002161, GDX, 3894, 20, 194.700000, ZIP, 3154, 20, 157.700000, 
trial0002162, GDX, 3743, 20, 187.150000, ZIP, 3213, 20, 160.650000, 
trial0002163, GDX, 3749, 20, 187.450000, ZIP, 4060, 20, 203.000000, 
trial0002164, GDX, 3201, 20, 160.050000, ZIP, 3993, 20, 199.650000, 
trial0002165, GDX, 3933, 20, 196.650000, ZIP, 3751, 20, 187.550000, 
trial0002166, GDX, 4415, 20, 220.750000, ZIP, 2826, 20, 141.300000, 
trial0002167, GDX, 3742, 20, 187.100000, ZIP, 3641, 20, 182.050000, 
trial0002168, GDX, 4193, 20, 209.650000, ZIP, 2799, 20, 139.950000, 
trial0002169, GDX, 3386, 20, 169.300000, ZIP, 3780, 20, 189.000000, 
trial0002170, GDX, 4069, 20, 203.450000, ZIP, 3477, 20, 173.850000, 
trial0002171, GDX, 3366, 20, 168.300000, ZIP, 4095, 20, 204.750000, 
trial0002172, GDX, 2613, 20, 130.650000, ZIP, 3473, 20, 173.650000, 
trial0002173, GDX, 3794, 20, 189.700000, ZIP, 3461, 20, 173.050000, 
trial0002174, GDX, 4676, 20, 233.800000, ZIP, 2855, 20, 142.750000, 
trial0002175, GDX, 4684, 20, 234.200000, ZIP, 2171, 20, 108.550000, 
trial0002176, GDX, 3304, 20, 165.200000, ZIP, 4268, 20, 213.400000, 
trial0002177, GDX, 4351, 20, 217.550000, ZIP, 2704, 20, 135.200000, 
trial0002178, GDX, 4656, 20, 232.800000, ZIP, 2826, 20, 141.300000, 
trial0002179, GDX, 1961, 20, 98.050000, ZIP, 5319, 20, 265.950000, 
trial0002180, GDX, 3395, 20, 169.750000, ZIP, 4251, 20, 212.550000, 
trial0002181, GDX, 2381, 20, 119.050000, ZIP, 4657, 20, 232.850000, 
trial0002182, GDX, 2560, 20, 128.000000, ZIP, 4666, 20, 233.300000, 
trial0002183, GDX, 4078, 20, 203.900000, ZIP, 3345, 20, 167.250000, 
trial0002184, GDX, 3670, 20, 183.500000, ZIP, 3712, 20, 185.600000, 
trial0002185, GDX, 2939, 20, 146.950000, ZIP, 4073, 20, 203.650000, 
trial0002186, GDX, 1633, 20, 81.650000, ZIP, 5707, 20, 285.350000, 
trial0002187, GDX, 3118, 20, 155.900000, ZIP, 4008, 20, 200.400000, 
trial0002188, GDX, 4397, 20, 219.850000, ZIP, 2982, 20, 149.100000, 
trial0002189, GDX, 4554, 20, 227.700000, ZIP, 3261, 20, 163.050000, 
trial0002190, GDX, 3461, 20, 173.050000, ZIP, 3626, 20, 181.300000, 
trial0002191, GDX, 4767, 20, 238.350000, ZIP, 2856, 20, 142.800000, 
trial0002192, GDX, 3464, 20, 173.200000, ZIP, 3361, 20, 168.050000, 
trial0002193, GDX, 4898, 20, 244.900000, ZIP, 2279, 20, 113.950000, 
trial0002194, GDX, 3612, 20, 180.600000, ZIP, 3817, 20, 190.850000, 
trial0002195, GDX, 5017, 20, 250.850000, ZIP, 2289, 20, 114.450000, 
trial0002196, GDX, 3340, 20, 167.000000, ZIP, 3580, 20, 179.000000, 
trial0002197, GDX, 2925, 20, 146.250000, ZIP, 4371, 20, 218.550000, 
trial0002198, GDX, 4239, 20, 211.950000, ZIP, 2991, 20, 149.550000, 
trial0002199, GDX, 3573, 20, 178.650000, ZIP, 3770, 20, 188.500000, 
trial0002200, GDX, 3180, 20, 159.000000, ZIP, 3755, 20, 187.750000, 
trial0002201, GDX, 1118, 20, 55.900000, ZIP, 1313, 20, 65.650000, 
trial0002202, GDX, 1136, 20, 56.800000, ZIP, 1238, 20, 61.900000, 
trial0002203, GDX, 1411, 20, 70.550000, ZIP, 1304, 20, 65.200000, 
trial0002204, GDX, 1251, 20, 62.550000, ZIP, 1498, 20, 74.900000, 
trial0002205, GDX, 880, 20, 44.000000, ZIP, 1946, 20, 97.300000, 
trial0002206, GDX, 1247, 20, 62.350000, ZIP, 1224, 20, 61.200000, 
trial0002207, GDX, 637, 20, 31.850000, ZIP, 1492, 20, 74.600000, 
trial0002208, GDX, 1372, 20, 68.600000, ZIP, 1386, 20, 69.300000, 
trial0002209, GDX, 1307, 20, 65.350000, ZIP, 957, 20, 47.850000, 
trial0002210, GDX, 1364, 20, 68.200000, ZIP, 931, 20, 46.550000, 
trial0002211, GDX, 1155, 20, 57.750000, ZIP, 1391, 20, 69.550000, 
trial0002212, GDX, 1231, 20, 61.550000, ZIP, 1543, 20, 77.150000, 
trial0002213, GDX, 589, 20, 29.450000, ZIP, 1598, 20, 79.900000, 
trial0002214, GDX, 1138, 20, 56.900000, ZIP, 1142, 20, 57.100000, 
trial0002215, GDX, 1183, 20, 59.150000, ZIP, 1445, 20, 72.250000, 
trial0002216, GDX, 1286, 20, 64.300000, ZIP, 1741, 20, 87.050000, 
trial0002217, GDX, 1186, 20, 59.300000, ZIP, 1275, 20, 63.750000, 
trial0002218, GDX, 1408, 20, 70.400000, ZIP, 1293, 20, 64.650000, 
trial0002219, GDX, 941, 20, 47.050000, ZIP, 1809, 20, 90.450000, 
trial0002220, GDX, 1410, 20, 70.500000, ZIP, 1085, 20, 54.250000, 
trial0002221, GDX, 1213, 20, 60.650000, ZIP, 1617, 20, 80.850000, 
trial0002222, GDX, 1096, 20, 54.800000, ZIP, 1550, 20, 77.500000, 
trial0002223, GDX, 1138, 20, 56.900000, ZIP, 1427, 20, 71.350000, 
trial0002224, GDX, 1224, 20, 61.200000, ZIP, 1279, 20, 63.950000, 
trial0002225, GDX, 878, 20, 43.900000, ZIP, 1583, 20, 79.150000, 
trial0002226, GDX, 1442, 20, 72.100000, ZIP, 1674, 20, 83.700000, 
trial0002227, GDX, 1171, 20, 58.550000, ZIP, 1408, 20, 70.400000, 
trial0002228, GDX, 1055, 20, 52.750000, ZIP, 1816, 20, 90.800000, 
trial0002229, GDX, 817, 20, 40.850000, ZIP, 1647, 20, 82.350000, 
trial0002230, GDX, 665, 20, 33.250000, ZIP, 1231, 20, 61.550000, 
trial0002231, GDX, 636, 20, 31.800000, ZIP, 1371, 20, 68.550000, 
trial0002232, GDX, 1117, 20, 55.850000, ZIP, 1609, 20, 80.450000, 
trial0002233, GDX, 1162, 20, 58.100000, ZIP, 1674, 20, 83.700000, 
trial0002234, GDX, 1267, 20, 63.350000, ZIP, 1021, 20, 51.050000, 
trial0002235, GDX, 965, 20, 48.250000, ZIP, 1338, 20, 66.900000, 
trial0002236, GDX, 1210, 20, 60.500000, ZIP, 1509, 20, 75.450000, 
trial0002237, GDX, 909, 20, 45.450000, ZIP, 1294, 20, 64.700000, 
trial0002238, GDX, 688, 20, 34.400000, ZIP, 1610, 20, 80.500000, 
trial0002239, GDX, 903, 20, 45.150000, ZIP, 1550, 20, 77.500000, 
trial0002240, GDX, 1076, 20, 53.800000, ZIP, 1834, 20, 91.700000, 
trial0002241, GDX, 1188, 20, 59.400000, ZIP, 1164, 20, 58.200000, 
trial0002242, GDX, 1161, 20, 58.050000, ZIP, 1827, 20, 91.350000, 
trial0002243, GDX, 1147, 20, 57.350000, ZIP, 1661, 20, 83.050000, 
trial0002244, GDX, 1181, 20, 59.050000, ZIP, 1637, 20, 81.850000, 
trial0002245, GDX, 1002, 20, 50.100000, ZIP, 898, 20, 44.900000, 
trial0002246, GDX, 1300, 20, 65.000000, ZIP, 915, 20, 45.750000, 
trial0002247, GDX, 1337, 20, 66.850000, ZIP, 1409, 20, 70.450000, 
trial0002248, GDX, 1411, 20, 70.550000, ZIP, 1095, 20, 54.750000, 
trial0002249, GDX, 1027, 20, 51.350000, ZIP, 1127, 20, 56.350000, 
trial0002250, GDX, 1012, 20, 50.600000, ZIP, 1893, 20, 94.650000, 
trial0002251, GDX, 995, 20, 49.750000, ZIP, 1530, 20, 76.500000, 
trial0002252, GDX, 1207, 20, 60.350000, ZIP, 1206, 20, 60.300000, 
trial0002253, GDX, 1177, 20, 58.850000, ZIP, 1704, 20, 85.200000, 
trial0002254, GDX, 953, 20, 47.650000, ZIP, 1661, 20, 83.050000, 
trial0002255, GDX, 1154, 20, 57.700000, ZIP, 1254, 20, 62.700000, 
trial0002256, GDX, 1359, 20, 67.950000, ZIP, 1705, 20, 85.250000, 
trial0002257, GDX, 1217, 20, 60.850000, ZIP, 1417, 20, 70.850000, 
trial0002258, GDX, 1408, 20, 70.400000, ZIP, 1530, 20, 76.500000, 
trial0002259, GDX, 1184, 20, 59.200000, ZIP, 1350, 20, 67.500000, 
trial0002260, GDX, 1144, 20, 57.200000, ZIP, 1143, 20, 57.150000, 
trial0002261, GDX, 1139, 20, 56.950000, ZIP, 1311, 20, 65.550000, 
trial0002262, GDX, 1176, 20, 58.800000, ZIP, 1421, 20, 71.050000, 
trial0002263, GDX, 1245, 20, 62.250000, ZIP, 1318, 20, 65.900000, 
trial0002264, GDX, 1413, 20, 70.650000, ZIP, 1769, 20, 88.450000, 
trial0002265, GDX, 1214, 20, 60.700000, ZIP, 1252, 20, 62.600000, 
trial0002266, GDX, 1155, 20, 57.750000, ZIP, 922, 20, 46.100000, 
trial0002267, GDX, 727, 20, 36.350000, ZIP, 1835, 20, 91.750000, 
trial0002268, GDX, 1041, 20, 52.050000, ZIP, 1320, 20, 66.000000, 
trial0002269, GDX, 1181, 20, 59.050000, ZIP, 1331, 20, 66.550000, 
trial0002270, GDX, 738, 20, 36.900000, ZIP, 1202, 20, 60.100000, 
trial0002271, GDX, 985, 20, 49.250000, ZIP, 1333, 20, 66.650000, 
trial0002272, GDX, 770, 20, 38.500000, ZIP, 1320, 20, 66.000000, 
trial0002273, GDX, 1086, 20, 54.300000, ZIP, 1730, 20, 86.500000, 
trial0002274, GDX, 1169, 20, 58.450000, ZIP, 1144, 20, 57.200000, 
trial0002275, GDX, 917, 20, 45.850000, ZIP, 1053, 20, 52.650000, 
trial0002276, GDX, 967, 20, 48.350000, ZIP, 1521, 20, 76.050000, 
trial0002277, GDX, 784, 20, 39.200000, ZIP, 1454, 20, 72.700000, 
trial0002278, GDX, 907, 20, 45.350000, ZIP, 1671, 20, 83.550000, 
trial0002279, GDX, 1167, 20, 58.350000, ZIP, 1419, 20, 70.950000, 
trial0002280, GDX, 1304, 20, 65.200000, ZIP, 1735, 20, 86.750000, 
trial0002281, GDX, 1303, 20, 65.150000, ZIP, 1085, 20, 54.250000, 
trial0002282, GDX, 1340, 20, 67.000000, ZIP, 1786, 20, 89.300000, 
trial0002283, GDX, 872, 20, 43.600000, ZIP, 1446, 20, 72.300000, 
trial0002284, GDX, 1124, 20, 56.200000, ZIP, 1805, 20, 90.250000, 
trial0002285, GDX, 1178, 20, 58.900000, ZIP, 1254, 20, 62.700000, 
trial0002286, GDX, 1378, 20, 68.900000, ZIP, 1524, 20, 76.200000, 
trial0002287, GDX, 764, 20, 38.200000, ZIP, 1409, 20, 70.450000, 
trial0002288, GDX, 980, 20, 49.000000, ZIP, 1224, 20, 61.200000, 
trial0002289, GDX, 1131, 20, 56.550000, ZIP, 1219, 20, 60.950000, 
trial0002290, GDX, 1527, 20, 76.350000, ZIP, 1250, 20, 62.500000, 
trial0002291, GDX, 706, 20, 35.300000, ZIP, 2061, 20, 103.050000, 
trial0002292, GDX, 1109, 20, 55.450000, ZIP, 1872, 20, 93.600000, 
trial0002293, GDX, 1077, 20, 53.850000, ZIP, 1267, 20, 63.350000, 
trial0002294, GDX, 1024, 20, 51.200000, ZIP, 847, 20, 42.350000, 
trial0002295, GDX, 1591, 20, 79.550000, ZIP, 1417, 20, 70.850000, 
trial0002296, GDX, 1334, 20, 66.700000, ZIP, 1122, 20, 56.100000, 
trial0002297, GDX, 818, 20, 40.900000, ZIP, 1763, 20, 88.150000, 
trial0002298, GDX, 1111, 20, 55.550000, ZIP, 1454, 20, 72.700000, 
trial0002299, GDX, 913, 20, 45.650000, ZIP, 1472, 20, 73.600000, 
trial0002300, GDX, 1677, 20, 83.850000, ZIP, 1484, 20, 74.200000, 
trial0002301, GDX, 4612, 20, 230.600000, ZIP, 4374, 20, 218.700000, 
trial0002302, GDX, 5598, 20, 279.900000, ZIP, 3860, 20, 193.000000, 
trial0002303, GDX, 4554, 20, 227.700000, ZIP, 7031, 20, 351.550000, 
trial0002304, GDX, 5206, 20, 260.300000, ZIP, 6080, 20, 304.000000, 
trial0002305, GDX, 5303, 20, 265.150000, ZIP, 4883, 20, 244.150000, 
trial0002306, GDX, 3528, 20, 176.400000, ZIP, 5689, 20, 284.450000, 
trial0002307, GDX, 5958, 20, 297.900000, ZIP, 3778, 20, 188.900000, 
trial0002308, GDX, 5439, 20, 271.950000, ZIP, 4622, 20, 231.100000, 
trial0002309, GDX, 5500, 20, 275.000000, ZIP, 4670, 20, 233.500000, 
trial0002310, GDX, 7581, 20, 379.050000, ZIP, 2894, 20, 144.700000, 
trial0002311, GDX, 4809, 20, 240.450000, ZIP, 4536, 20, 226.800000, 
trial0002312, GDX, 4080, 20, 204.000000, ZIP, 5820, 20, 291.000000, 
trial0002313, GDX, 4940, 20, 247.000000, ZIP, 5267, 20, 263.350000, 
trial0002314, GDX, 5337, 20, 266.850000, ZIP, 5284, 20, 264.200000, 
trial0002315, GDX, 4960, 20, 248.000000, ZIP, 4883, 20, 244.150000, 
trial0002316, GDX, 5155, 20, 257.750000, ZIP, 6729, 20, 336.450000, 
trial0002317, GDX, 4079, 20, 203.950000, ZIP, 5359, 20, 267.950000, 
trial0002318, GDX, 4719, 20, 235.950000, ZIP, 5573, 20, 278.650000, 
trial0002319, GDX, 5053, 20, 252.650000, ZIP, 6402, 20, 320.100000, 
trial0002320, GDX, 4570, 20, 228.500000, ZIP, 5248, 20, 262.400000, 
trial0002321, GDX, 4776, 20, 238.800000, ZIP, 6601, 20, 330.050000, 
trial0002322, GDX, 5759, 20, 287.950000, ZIP, 4244, 20, 212.200000, 
trial0002323, GDX, 5062, 20, 253.100000, ZIP, 6622, 20, 331.100000, 
trial0002324, GDX, 6271, 20, 313.550000, ZIP, 4445, 20, 222.250000, 
trial0002325, GDX, 3621, 20, 181.050000, ZIP, 7110, 20, 355.500000, 
trial0002326, GDX, 4417, 20, 220.850000, ZIP, 5622, 20, 281.100000, 
