trial0000130, AA, 6437, 38, 169.394737, GDX, 169, 2, 84.500000, 
trial0000131, AA, 5711, 38, 150.289474, GDX, 828, 2, 414.000000, 
trial0000132, AA, 5930, 38, 156.052632, GDX, 753, 2, 376.500000, 
trial0000133, AA, 5840, 38, 153.684211, GDX, 735, 2, 367.500000, 
trial0000134, AA, 6098, 38, 160.473684, GDX, 593, 2, 296.500000, 
trial0000135, AA, 5631, 38, 148.184211, GDX, 1011, 2, 505.500000, 
trial0000136, AA, 5978, 38, 157.315789, GDX, 281, 2, 140.500000, 
trial0000137, AA, 6305, 38, 165.921053, GDX, 355, 2, 177.500000, 
trial0000138, AA, 6557, 38, 172.552632, GDX, 0, 2, 0.000000, 
trial0000139, AA, 5472, 38, 144.000000, GDX, 1134, 2, 567.000000, 
trial0000140, AA, 6570, 38, 172.894737, GDX, 0, 2, 0.000000, 
trial0000141, AA, 6359, 38, 167.342105, GDX, 365, 2, 182.500000, 
trial0000142, AA, 5999, 38, 157.868421, GDX, 647, 2, 323.500000, 
trial0000143, AA, 6387, 38, 168.078947, GDX, 0, 2, 0.000000, 
trial0000144, AA, 6604, 38, 173.789474, GDX, 14, 2, 7.000000, 
trial0000145, AA, 6675, 38, 175.657895, GDX, 0, 2, 0.000000, 
trial0000146, AA, 6190, 38, 162.894737, GDX, 446, 2, 223.000000, 
trial0000147, AA, 6586, 38, 173.315789, GDX, 0, 2, 0.000000, 
trial0000148, AA, 6187, 38, 162.815789, GDX, 384, 2, 192.000000, 
trial0000149, AA, 5979, 38, 157.342105, GDX, 690, 2, 345.000000, 
trial0000150, AA, 6063, 38, 159.552632, GDX, 457, 2, 228.500000, 
trial0000151, AA, 6235, 38, 164.078947, GDX, 301, 2, 150.500000, 
trial0000152, AA, 6403, 38, 168.500000, GDX, 0, 2, 0.000000, 
trial0000153, AA, 6550, 38, 172.368421, GDX, 44, 2, 22.000000, 
trial0000154, AA, 6159, 38, 162.078947, GDX, 593, 2, 296.500000, 
trial0000155, AA, 5759, 38, 151.552632, GDX, 521, 2, 260.500000, 
trial0000156, AA, 6048, 38, 159.157895, GDX, 396, 2, 198.000000, 
trial0000157, AA, 5929, 38, 156.026316, GDX, 589, 2, 294.500000, 
trial0000158, AA, 6077, 38, 159.921053, GDX, 557, 2, 278.500000, 
trial0000159, AA, 5826, 38, 153.315789, GDX, 868, 2, 434.000000, 
trial0000160, AA, 6656, 38, 175.157895, GDX, 149, 2, 74.500000, 
trial0000161, AA, 6448, 38, 169.684211, GDX, 150, 2, 75.000000, 
trial0000162, AA, 6037, 38, 158.868421, GDX, 712, 2, 356.000000, 
trial0000163, AA, 6150, 38, 161.842105, GDX, 423, 2, 211.500000, 
trial0000164, AA, 6081, 38, 160.026316, GDX, 553, 2, 276.500000, 
trial0000165, AA, 6279, 38, 165.236842, GDX, 494, 2, 247.000000, 
trial0000166, AA, 6674, 38, 175.631579, GDX, 0, 2, 0.000000, 
trial0000167, AA, 5994, 38, 157.736842, GDX, 665, 2, 332.500000, 
trial0000168, AA, 6770, 38, 178.157895, GDX, 0, 2, 0.000000, 
