trial0002082, AA, 3043, 14, 217.357143, ZIC, 2637, 14, 188.357143, ZIP, 3758, 14, 268.428571, 
trial0002083, AA, 3398, 14, 242.714286, ZIC, 3798, 14, 271.285714, ZIP, 2798, 14, 199.857143, 
trial0002084, AA, 3393, 14, 242.357143, ZIC, 2689, 14, 192.071429, ZIP, 3802, 14, 271.571429, 
trial0002085, AA, 3146, 14, 224.714286, ZIC, 3572, 14, 255.142857, ZIP, 3598, 14, 257.000000, 
trial0002086, AA, 3472, 14, 248.000000, ZIC, 1430, 14, 102.142857, ZIP, 5089, 14, 363.500000, 
trial0002087, AA, 2778, 14, 198.428571, ZIC, 1264, 14, 90.285714, ZIP, 6030, 14, 430.714286, 
trial0002088, AA, 2460, 14, 175.714286, ZIC, 2393, 14, 170.928571, ZIP, 5268, 14, 376.285714, 
trial0002089, AA, 3188, 14, 227.714286, ZIC, 3472, 14, 248.000000, ZIP, 3641, 14, 260.071429, 
trial0002090, AA, 2440, 14, 174.285714, ZIC, 3371, 14, 240.785714, ZIP, 3765, 14, 268.928571, 
trial0002091, AA, 2811, 14, 200.785714, ZIC, 3226, 14, 230.428571, ZIP, 3028, 14, 216.285714, 
trial0002092, AA, 4149, 14, 296.357143, ZIC, 1046, 14, 74.714286, ZIP, 5117, 14, 365.500000, 
trial0002093, AA, 2688, 14, 192.000000, ZIC, 4133, 14, 295.214286, ZIP, 3041, 14, 217.214286, 
trial0002094, AA, 4615, 14, 329.642857, ZIC, 1774, 14, 126.714286, ZIP, 3846, 14, 274.714286, 
trial0002095, AA, 3517, 14, 251.214286, ZIC, 1583, 14, 113.071429, ZIP, 4913, 14, 350.928571, 
trial0002096, AA, 5090, 14, 363.571429, ZIC, 1473, 14, 105.214286, ZIP, 3501, 14, 250.071429, 
trial0002097, AA, 3234, 14, 231.000000, ZIC, 3557, 14, 254.071429, ZIP, 3525, 14, 251.785714, 
trial0002098, AA, 4151, 14, 296.500000, ZIC, 2436, 14, 174.000000, ZIP, 2965, 14, 211.785714, 
trial0002099, AA, 4636, 14, 331.142857, ZIC, 1729, 14, 123.500000, ZIP, 3810, 14, 272.142857, 
trial0002100, AA, 3273, 14, 233.785714, ZIC, 3539, 14, 252.785714, ZIP, 2950, 14, 210.714286, 
trial0002101, AA, 2302, 14, 164.428571, ZIC, 843, 14, 60.214286, ZIP, 1776, 14, 126.857143, 
trial0002102, AA, 1805, 14, 128.928571, ZIC, 1290, 14, 92.142857, ZIP, 1975, 14, 141.071429, 
trial0002103, AA, 1376, 14, 98.285714, ZIC, 1522, 14, 108.714286, ZIP, 1822, 14, 130.142857, 
trial0002104, AA, 768, 14, 54.857143, ZIC, 1531, 14, 109.357143, ZIP, 2180, 14, 155.714286, 
trial0002105, AA, 2294, 14, 163.857143, ZIC, 775, 14, 55.357143, ZIP, 1830, 14, 130.714286, 
trial0002106, AA, 2007, 14, 143.357143, ZIC, 810, 14, 57.857143, ZIP, 1799, 14, 128.500000, 
trial0002107, AA, 1863, 14, 133.071429, ZIC, 1584, 14, 113.142857, ZIP, 1092, 14, 78.000000, 
trial0002108, AA, 1550, 14, 110.714286, ZIC, 1164, 14, 83.142857, ZIP, 2208, 14, 157.714286, 
trial0002109, AA, 1397, 14, 99.785714, ZIC, 905, 14, 64.642857, ZIP, 1626, 14, 116.142857, 
trial0002110, AA, 2363, 14, 168.785714, ZIC, 1033, 14, 73.785714, ZIP, 991, 14, 70.785714, 
trial0002111, AA, 1977, 14, 141.214286, ZIC, 1550, 14, 110.714286, ZIP, 1072, 14, 76.571429, 
trial0002112, AA, 1913, 14, 136.642857, ZIC, 930, 14, 66.428571, ZIP, 2168, 14, 154.857143, 
trial0002113, AA, 1892, 14, 135.142857, ZIC, 1216, 14, 86.857143, ZIP, 1548, 14, 110.571429, 
trial0002114, AA, 1399, 14, 99.928571, ZIC, 1054, 14, 75.285714, ZIP, 2389, 14, 170.642857, 
trial0002115, AA, 1293, 14, 92.357143, ZIC, 948, 14, 67.714286, ZIP, 2765, 14, 197.500000, 
trial0002116, AA, 1708, 14, 122.000000, ZIC, 1003, 14, 71.642857, ZIP, 2318, 14, 165.571429, 
trial0002117, AA, 1397, 14, 99.785714, ZIC, 1024, 14, 73.142857, ZIP, 2137, 14, 152.642857, 
trial0002118, AA, 1708, 14, 122.000000, ZIC, 1076, 14, 76.857143, ZIP, 2227, 14, 159.071429, 
